frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.019723,0.000000,sil,
2,0.066667,0.059133,0.000000,1.000000,1.000000,0.039839,0.000000,k,コ
3,0.100000,0.307111,0.000000,1.000000,1.000000,0.060391,0.000000,k,コ
4,0.133333,0.347842,-0.040707,1.000000,1.000000,0.081423,0.000000,k,コ
5,0.166667,0.504662,-0.184364,1.000000,1.000000,0.102973,0.000000,k,コ
6,0.200000,0.498452,-0.474845,1.000000,1.000000,0.125079,0.000000,o,コ
7,0.233333,0.348489,-0.774584,1.000000,1.000000,0.147776,0.000000,k,コ
8,0.266667,0.478249,-0.905048,1.000000,1.000000,0.171093,0.000000,k,コ
9,0.300000,0.530164,-0.827302,1.000000,1.000000,0.195059,0.000000,o,コ
10,0.333333,0.394943,-0.577056,1.000000,1.000000,0.219698,0.000000,d,デ
11,0.366667,0.581060,-0.249061,1.000000,1.000000,0.245032,0.000000,d,デ
12,0.400000,0.606497,0.000000,1.000000,1.000000,0.271079,0.000000,e,デ
13,0.433333,0.394222,0.045800,1.000000,1.000000,0.297852,0.000000,e,デ
14,0.466667,0.337018,-0.082867,1.000000,1.000000,0.325361,0.000000,n,ノ
15,0.500000,0.478753,-0.291965,1.000000,1.000000,0.353613,0.000000,n,ノ
16,0.533333,0.540872,-0.515382,1.000000,1.000000,0.358697,0.000000,o,ノ
17,0.566667,0.540994,-0.714188,1.000000,1.000000,0.363840,0.000000,o,ノ
18,0.600000,0.340000,-0.842590,1.000000,1.000000,0.369027,0.000000,o,ノ
19,0.633333,0.000000,-0.640387,1.000000,1.000000,0.374244,0.000000,o,ノ
20,0.666667,0.000000,-0.169737,1.000000,1.000000,0.379476,0.000000,o,ノ
21,0.700000,0.000000,0.000000,1.000000,1.000000,0.384711,0.000000,m,マ
22,0.733333,0.000000,0.000000,1.000000,1.000000,0.389932,0.000000,m,マ
23,0.766667,0.000000,0.000000,1.000000,1.000000,0.395126,0.000000,m,マ
24,0.800000,0.000000,0.000000,1.000000,1.000000,0.400279,0.000000,m,マ
25,0.833333,0.000000,0.000000,1.000000,1.000000,0.405376,0.000000,m,マ
26,0.866667,0.000000,0.000000,1.000000,1.000000,0.410403,0.000000,m,マ
27,0.900000,0.340000,0.000000,1.000000,1.000000,0.415347,0.000000,m,マ
28,0.933333,0.680000,-0.028250,1.000000,1.000000,0.420195,0.000000,a,マ
29,0.966667,0.765821,0.032804,1.000000,1.000000,0.424932,0.000000,a,マ
30,1.000000,0.762739,0.241150,1.000000,1.000000,0.429546,0.000000,a,マ
31,1.033333,0.585320,0.464184,1.000000,1.000000,0.434024,0.000000,a,マ
32,1.066667,0.426769,0.605389,1.000000,1.000000,0.438354,0.000000,i,イ
33,1.100000,0.445196,0.571973,1.000000,1.000000,0.442524,0.000000,i,イ
34,1.133333,0.529704,0.382643,1.000000,1.000000,0.446523,0.000000,n,ナ
35,1.166667,0.543692,0.137662,1.000000,1.000000,0.450339,0.000000,a,ナ
36,1.200000,0.203692,-0.088540,1.000000,1.000000,0.453963,0.000000,s,ス
37,1.233333,0.190214,-0.281341,1.000000,1.000000,0.457384,0.000000,s,ス
38,1.266667,0.242009,-0.453784,1.000000,1.000000,0.460593,0.000000,s,ス
39,1.300000,0.339476,-0.609879,1.000000,1.000000,0.463581,0.000000,u,ス
40,1.333333,0.333336,-0.740728,1.000000,1.000000,0.466340,0.000000,u,ス
41,1.366667,0.358369,-0.690032,1.000000,1.000000,0.468862,0.000000,g,ゴ
42,1.400000,0.376967,-0.260520,1.000000,1.000000,0.471140,0.000000,g,ゴ
43,1.433333,0.036967,0.000000,1.000000,1.000000,0.473169,0.000000,p,パ
44,1.466667,0.000000,0.000000,1.000000,1.000000,0.474943,0.000000,p,パ
45,1.500000,0.340000,0.000000,1.000000,1.000000,0.476456,0.000000,p,パ
46,1.533333,0.680000,-0.006056,1.000000,1.000000,0.477705,0.000000,a,パ
47,1.566667,0.420714,0.000000,1.000000,1.000000,0.478686,0.000000,a,ア
48,1.600000,0.191506,0.083847,1.000000,1.000000,0.479396,0.000000,s,セ
49,1.633333,0.226342,0.165889,1.000000,1.000000,0.479835,0.061214,s,セ
50,1.666667,0.553077,0.216654,1.000000,1.000000,0.480703,0.266508,s,セ
51,1.700000,0.512330,0.192939,1.000000,1.000000,0.482621,0.597306,e,セ
52,1.733333,0.172330,0.061190,1.000000,1.000000,0.485545,1.022473,N,ン
53,1.766667,0.164415,-0.153529,1.000000,1.000000,0.489402,1.501994,N,ン
54,1.800000,0.310474,-0.398431,1.000000,1.000000,0.494092,1.990740,N,ン
55,1.833333,0.384043,-0.625685,1.000000,1.000000,0.499493,2.442710,t,ト
56,1.866667,0.500652,-0.775212,1.000000,1.000000,0.505461,2.815368,o,ト
57,1.900000,0.450184,-0.794143,1.000000,1.000000,0.511833,3.073641,w,ワ
58,1.933333,0.452529,-0.695875,1.000000,1.000000,0.518434,3.193220,w,ワ
59,1.966667,0.607837,-0.541216,1.000000,1.000000,0.525077,3.162852,w,ワ
60,2.000000,0.706305,-0.374245,1.000000,1.000000,0.531571,2.985394,a,ワ
61,2.033333,0.706952,-0.218068,1.000000,1.000000,0.537721,2.677549,a,ワ
62,2.066667,0.389831,-0.097005,1.000000,1.000000,0.543338,2.268289,a,ワ
63,2.100000,0.049831,-0.022986,1.000000,1.000000,0.548237,1.796132,a,ワ
64,2.133333,0.000000,0.000000,1.000000,1.000000,0.552248,1.305516,a,ワ
65,2.166667,0.000000,0.000000,1.000000,1.000000,0.555215,0.842616,sp,","
66,2.200000,0.000000,0.000000,1.000000,1.000000,0.557002,0.450998,sp,","
67,2.233333,0.000000,0.000000,1.000000,1.000000,0.557493,0.167519,sp,","
68,2.266667,0.000000,0.000000,1.000000,1.000000,0.556601,0.018860,sp,","
69,2.300000,0.000000,0.000000,1.000000,1.000000,0.554265,0.000000,sp,","
70,2.333333,0.000000,0.000000,1.000000,1.000000,0.550452,0.000000,sp,","
71,2.366667,0.000000,0.000000,1.000000,1.000000,0.545161,0.000000,sp,","
72,2.400000,0.000000,0.000000,1.000000,1.000000,0.538419,0.000000,sp,","
73,2.433333,0.000000,0.000000,1.000000,1.000000,0.530286,0.000000,sp,","
74,2.466667,0.000000,0.000000,1.000000,1.000000,0.520847,0.000000,sp,","
75,2.500000,0.340000,0.000000,1.000000,1.000000,0.510217,0.000000,sp,","
76,2.533333,0.680000,0.011879,1.000000,1.000000,0.498537,0.000000,a,ア
