start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
5.6949494,5.7249494,w,N01_02,ワ,2.8825,2.9125,5.6942234,5.7242234,287,289
5.7249494,5.7549494,a,N01_02,ワ,2.9125,2.9425,5.7242234,5.7542234,290,292
5.7549494,5.8249494,k,N01_02,ケ,2.9425,3.0125,5.7542234,5.8242234,293,299
5.8249494,5.8949494,e,N01_02,ケ,3.0125,3.0825,5.8242234,5.8942234,300,306
5.8949494,5.9449494,i,N01_02,イ,3.0825,3.1325,5.8942234,5.9442234,307,311
5.9449494,6.0249494,z,N01_02,ザ,3.1325,3.2125,5.9442234,6.0242234,312,319
6.0249494,6.0849494,a,N01_02,ザ,3.2125,3.2725,6.0242234,6.0842234,320,325
6.0849494,6.1249494,i,N01_02,イ,3.2725,3.3125,6.0842234,6.1242234,326,329
6.1249494,6.2049494,s,N01_02,セ,3.3125,3.3925,6.1242234,6.2042234,330,337
6.2049494,6.3149494,e,N01_02,セ,3.3925,3.5025,6.2042234,6.3142234,338,348
6.3149494,6.3449494,i,N01_02,イ,3.5025,3.5325,6.3142234,6.3442234,349,351
6.3449494,6.4149494,ch,N01_02,チョ,3.5325,3.6025,6.3442234,6.4142234,352,358
6.4149494,6.4649494,o,N01_02,チョ,3.6025,3.6525,6.4142234,6.4642234,359,363
6.4649494,6.5349494,o,N01_02,オ,3.6525,3.7225,6.4642234,6.5342234,364,370
6.5349494,6.5849494,t,N01_02,ト,3.7225,3.7725,6.5342234,6.5842234,371,375
6.5849494,6.6349494,o,N01_02,ト,3.7725,3.8225,6.5842234,6.6342234,376,380
6.6349494,6.6649494,i,N01_02,イ,3.8225,3.8525,6.6342234,6.6642234,381,383
6.6649494,6.7349494,u,N01_02,ウ,3.8525,3.9225,6.6642234,6.7342234,384,390
6.7349494,6.8349494,sh,N01_02,シ,3.9225,4.0225,6.7342234,6.8342234,391,400
6.8349494,6.8649494,i,N01_02,シ,4.0225,4.0525,6.8342234,6.8642234,401,403
6.8649494,6.9049494,t,N01_02,テ,4.0525,4.0925,6.8642234,6.9042234,404,407
6.9049494,6.9549494,e,N01_02,テ,4.0925,4.1425,6.9042234,6.9542234,408,412
6.9549494,7.0349494,N,N01_02,ン,4.1425,4.2225,6.9542234,7.0342234,413,420
7.0349494,7.0949494,k,N01_02,カ,4.2225,4.2825,7.0342234,7.0942234,421,426
7.0949494,7.1249494,a,N01_02,カ,4.2825,4.3125,7.0942234,7.1242234,427,429
7.1249494,7.1749494,r,N01_02,ラ,4.3125,4.3625,7.1242234,7.1742234,430,434
7.1749494,7.3149494,a,N01_02,ラ,4.3625,4.5025,7.1742234,7.3142234,435,448
7.3149494,7.6049494,k,N01_02,コ,4.5025,4.7925,7.3142234,7.6042234,449,477
7.6049494,7.6649494,o,N01_02,コ,4.7925,4.8525,7.6042234,7.6642234,478,483
7.6649494,7.7249494,t,N01_02,タ,4.8525,4.9125,7.6642234,7.7242234,484,489
7.7249494,7.7849494,a,N01_02,タ,4.9125,4.9725,7.7242234,7.7842234,490,495
7.7849494,7.8449494,e,N01_02,エ,4.9725,5.0325,7.7842234,7.8442234,496,501
7.8449494,7.8949494,t,N01_02,テ,5.0325,5.0825,7.8442234,7.8942234,502,506
7.8949494,7.9249494,e,N01_02,テ,5.0825,5.1125,7.8942234,7.9242234,507,509
7.9249494,7.9849494,i,N01_02,イ,5.1125,5.1725,7.9242234,7.9842234,510,515
7.9849494,8.0549494,m,N01_02,マ,5.1725,5.2425,7.9842234,8.0542234,516,522
8.0549494,8.0949494,a,N01_02,マ,5.2425,5.2825,8.0542234,8.0942234,523,526
8.0949494,8.1649494,s,N01_02,ス,5.2825,5.3525,8.0942234,8.1642234,527,533
8.1649494,8.1949494,u,N01_02,ス,5.3525,5.3825,8.1642234,8.1942234,534,536
8.1949494,8.2249494,sp,N01_02,.,5.3825,5.4125,8.1942234,8.2242234,537,539
8.537489,8.567489,k,N01_03,コ,0.0425,0.0725,8.536763,8.566763,3,5
8.567489,8.607489,o,N01_03,コ,0.0725,0.1125,8.566763,8.606763,6,9
8.607489,8.657489,k,N01_03,ク,0.1125,0.1625,8.606763,8.656763,10,14
8.657489,8.687489,u,N01_03,ク,0.1625,0.1925,8.656763,8.686763,15,17
8.687489,8.767489,s,N01_03,サ,0.1925,0.2725,8.686763,8.766763,18,25
8.767489,8.837489,a,N01_03,サ,0.2725,0.3425,8.766763,8.836763,26,32
8.837489,8.897489,i,N01_03,イ,0.3425,0.4025,8.836763,8.896763,33,38
