frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.019723,0.000000,sil,
2,0.066667,0.080181,0.000000,1.000000,1.000000,0.039839,0.000000,sil,
3,0.100000,0.416422,0.000000,1.000000,1.000000,0.060391,0.000000,k,カ
4,0.133333,0.531907,0.022426,1.000000,1.000000,0.081423,0.000000,k,カ
5,0.166667,0.583373,0.094230,1.000000,1.000000,0.102973,0.000000,a,カ
6,0.200000,0.261780,0.249715,1.000000,1.000000,0.125079,0.000000,r,リ
7,0.233333,0.363174,0.458719,1.000000,1.000000,0.147776,0.000000,r,リ
8,0.266667,0.326337,0.621049,1.000000,1.000000,0.171211,0.000000,i,リ
9,0.300000,0.064208,0.638797,1.000000,1.000000,0.196053,0.000000,i,リ
10,0.333333,0.382055,0.511761,1.000000,1.000000,0.222630,0.000000,k,カ
11,0.366667,0.663462,0.337633,1.000000,1.000000,0.251176,0.000000,k,カ
12,0.400000,0.764763,0.228453,1.000000,1.000000,0.281889,0.000000,a,カ
13,0.433333,0.592877,0.223573,1.000000,1.000000,0.314912,0.000000,e,エ
14,0.466667,0.455372,0.255401,1.000000,1.000000,0.350336,0.000000,w,ワ
15,0.500000,0.448000,0.252515,1.000000,1.000000,0.388188,0.000000,w,ワ
16,0.533333,0.471909,0.214742,1.000000,1.000000,0.401656,0.000000,w,ワ
17,0.566667,0.686862,0.164655,1.000000,1.000000,0.415563,0.000000,w,ワ
18,0.600000,0.730694,0.113521,1.000000,1.000000,0.429700,0.009662,a,ワ
19,0.633333,0.730694,0.066147,1.000000,1.000000,0.443851,0.137727,a,ワ
20,0.666667,0.505081,0.029425,1.000000,1.000000,0.457804,0.403414,a,ワ
21,0.700000,0.165081,0.008061,1.000000,1.000000,0.471349,0.781719,a,ワ
22,0.733333,0.000000,0.000000,1.000000,1.000000,0.484285,1.237038,a,ワ
23,0.766667,0.000000,0.000000,1.000000,1.000000,0.496427,1.726517,a,ワ
24,0.800000,0.000000,0.000000,1.000000,1.000000,0.507605,2.204089,sp,","
25,0.833333,0.000000,0.000000,1.000000,1.000000,0.517671,2.624806,sp,","
26,0.866667,0.000000,0.000000,1.000000,1.000000,0.526498,2.949073,sp,","
27,0.900000,0.000000,0.000000,1.000000,1.000000,0.533989,3.146371,sp,","
28,0.933333,0.000000,0.000000,1.000000,1.000000,0.540074,3.198130,sp,","
29,0.966667,0.000000,0.000000,1.000000,1.000000,0.544710,3.099479,sp,","
30,1.000000,0.000000,0.000000,1.000000,1.000000,0.547888,2.859704,sp,","
31,1.033333,0.000000,0.000000,1.000000,1.000000,0.549627,2.501370,sp,","
32,1.066667,0.000000,0.000000,1.000000,1.000000,0.549976,2.058203,sp,","
33,1.100000,0.000000,0.000000,1.000000,1.000000,0.549011,1.571912,sp,","
34,1.133333,0.000000,0.000000,1.000000,1.000000,0.546837,1.088264,m,マ
35,1.166667,0.102585,0.000000,1.000000,1.000000,0.543580,0.652779,m,マ
36,1.200000,0.442585,0.000000,1.000000,1.000000,0.539388,0.306442,m,マ
37,1.233333,0.582744,0.019874,1.000000,1.000000,0.534425,0.081850,a,マ
38,1.266667,0.242744,0.143120,1.000000,1.000000,0.528869,0.000140,a,マ
39,1.300000,0.183238,0.326106,1.000000,1.000000,0.522908,0.000000,N,ン
40,1.333333,0.239785,0.486643,1.000000,1.000000,0.516732,0.000000,k,キ
41,1.366667,0.304774,0.610472,1.000000,1.000000,0.510534,0.000000,k,キ
42,1.400000,0.407096,0.603639,1.000000,1.000000,0.504502,0.000000,i,キ
43,1.433333,0.337446,0.373412,1.000000,1.000000,0.498816,0.000000,n,ノ
44,1.466667,0.411601,-0.045855,1.000000,1.000000,0.493641,0.000000,n,ノ
45,1.500000,0.562738,-0.492945,1.000000,1.000000,0.489129,0.000000,o,ノ
46,1.533333,0.444764,-0.810062,1.000000,1.000000,0.485410,0.000000,o,ノ
47,1.566667,0.332715,-0.954092,1.000000,1.000000,0.482591,0.000000,k,コ
48,1.600000,0.418274,-0.988117,1.000000,1.000000,0.480754,0.000000,k,コ
49,1.633333,0.505389,-0.972608,1.000000,1.000000,0.479955,0.000000,o,コ
50,1.666667,0.262798,-0.922672,1.000000,1.000000,0.479999,0.000000,o,コ
51,1.700000,0.235396,-0.838634,1.000000,1.000000,0.479889,0.000000,k,ク
52,1.733333,0.289560,-0.716314,1.000000,1.000000,0.479506,0.000000,u,ク
53,1.766667,0.198435,-0.543822,1.000000,1.000000,0.478849,0.000000,s,サ
54,1.800000,0.451661,-0.311833,1.000000,1.000000,0.477922,0.000000,s,サ
55,1.833333,0.760973,-0.011115,1.000000,1.000000,0.476727,0.000000,a,サ
56,1.866667,0.486600,0.342938,1.000000,1.000000,0.475266,0.000000,a,サ
57,1.900000,0.348842,0.655113,1.000000,1.000000,0.473544,0.000000,i,イ
58,1.933333,0.246145,0.829592,1.000000,1.000000,0.471566,0.000000,n,ニ
59,1.966667,0.344771,0.875937,1.000000,1.000000,0.469337,0.000000,n,ニ
60,2.000000,0.409170,0.837678,1.000000,1.000000,0.466863,0.000000,i,ニ
61,2.033333,0.429544,0.720306,1.000000,1.000000,0.464151,0.000000,i,ニ
62,2.066667,0.458551,0.539049,1.000000,1.000000,0.461208,0.000000,t,タ
63,2.100000,0.689861,0.361304,1.000000,1.000000,0.458043,0.000000,t,タ
64,2.133333,0.759536,0.287661,1.000000,1.000000,0.454664,0.000000,a,タ
65,2.166667,0.475651,0.341842,1.000000,1.000000,0.451080,0.000000,a,タ
66,2.200000,0.419105,0.338445,1.000000,1.000000,0.447301,0.000000,i,イ
67,2.233333,0.498739,0.055600,1.000000,1.000000,0.443338,0.000000,i,イ
68,2.266667,0.571378,-0.397010,1.000000,1.000000,0.439201,0.000000,o,オ
69,2.300000,0.501222,-0.664265,1.000000,1.000000,0.434902,0.000000,o,オ
70,2.333333,0.215737,-0.564372,1.000000,1.000000,0.430453,0.000000,sh,シ
71,2.366667,0.190714,-0.197086,1.000000,1.000000,0.425865,0.000000,sh,シ
72,2.400000,0.235788,0.234828,1.000000,1.000000,0.421151,0.000000,sh,シ
73,2.433333,0.067226,0.548870,1.000000,1.000000,0.416325,0.000000,i,シ
74,2.466667,0.257174,0.650560,1.000000,1.000000,0.411399,0.000000,t,テ
75,2.500000,0.530986,0.579392,1.000000,1.000000,0.406387,0.000000,t,テ
76,2.533333,0.603764,0.430326,1.000000,1.000000,0.401303,0.000000,e,テ
