frame,time_s,rms,mouth_open_y,v1_open,phoneme,sentence,mora,mouth_form,eye_l_open,eye_r_open,breath,angle_z
18,0.6,0.10451153,0.330599,0.536392,u,N01_01,ス,-0.758313,1.000000,1.000000,0.369636,0.000000
19,0.633333,0.0759936,0.224311,0.538341,r,N01_01,ル,-0.730013,1.000000,1.000000,0.376787,0.000000
20,0.666667,0.098309,0.261744,0.57115,r,N01_01,ル,-0.702156,1.000000,1.000000,0.385237,0.000000
21,0.7,0.13497692,0.396139,0.635032,u,N01_01,ル,-0.637636,1.000000,1.000000,0.394901,0.000000
22,0.733333,0.13465273,0.447055,0.671315,n,N01_01,ナ,-0.506338,1.000000,1.000000,0.405664,0.000000
23,0.766667,0.13862258,0.547512,0.696626,n,N01_01,ナ,-0.326959,1.000000,1.000000,0.417389,0.000000
24,0.8,0.13067881,0.704579,0.70209,a,N01_01,ナ,-0.159157,1.000000,1.000000,0.429916,0.000000
25,0.833333,0.10558421,0.472643,0.680142,r,N01_01,ラ,-0.053179,1.000000,1.000000,0.443065,0.000000
26,0.866667,0.0958881,0.454919,0.655453,r,N01_01,ラ,-0.010897,1.000000,1.000000,0.456643,0.000000
27,0.9,0.10144681,0.625015,0.645096,r,N01_01,ラ,0.0,1.000000,1.000000,0.470445,0.000000
28,0.933333,0.08896689,0.708338,0.624733,a,N01_01,ラ,0.0,1.000000,1.000000,0.484260,0.000000
29,0.966667,0.06576132,0.708607,0.583324,a,N01_01,ラ,0.0,1.000000,1.000000,0.497873,0.000000
30,1.0,0.01684011,0.453963,0.471265,a,N01_01,ラ,0.0,1.000000,1.000000,0.511075,0.000000
31,1.033333,0.00213572,0.113963,0.341365,a,N01_01,ラ,0.0,1.000000,1.000000,0.523660,0.000000
32,1.066667,0.00020446,0.0,0.225042,a,N01_01,ラ,0.0,1.000000,1.000000,0.535434,0.000000
33,1.1,3.048e-05,0.0,0.148357,a,N01_01,ラ,0.0,1.000000,1.000000,0.546221,0.000000
34,1.133333,3.052e-05,0.0,0.097803,sp,N01_01,",",0.0,1.000000,1.000000,0.555860,0.000000
35,1.166667,3.052e-05,0.0,0.064475,sp,N01_01,",",0.0,0.450000,0.450000,0.564214,0.000000
36,1.2,3.052e-05,0.0,0.042505,sp,N01_01,",",0.0,0.000000,0.000000,0.571172,0.000000
37,1.233333,3.052e-05,0.0,0.028021,sp,N01_01,",",0.0,0.000000,0.000000,0.576650,0.000000
38,1.266667,3.052e-05,0.0,0.018473,sp,N01_01,",",0.0,0.250000,0.250000,0.580591,0.000000
39,1.3,3.052e-05,0.0,0.0,sp,N01_01,",",0.0,0.600000,0.600000,0.582972,0.000000
40,1.333333,3.052e-05,0.0,0.0,sp,N01_01,",",0.0,0.840000,0.840000,0.583796,0.000000
41,1.366667,3.052e-05,0.0,0.0,sp,N01_01,",",0.0,1.000000,1.000000,0.583101,0.000000
42,1.4,3.052e-05,0.0,0.0,sp,N01_01,",",0.0,1.000000,1.000000,0.580950,0.000000
43,1.433333,3.536e-05,0.11554,0.0,z,N01_01,ザ,0.0,1.000000,1.000000,0.577437,0.000000
44,1.466667,0.02195933,0.18947,0.125209,z,N01_01,ザ,0.0,1.000000,1.000000,0.572679,0.000000
45,1.5,0.07042229,0.217752,0.293807,z,N01_01,ザ,0.005261,1.000000,1.000000,0.566819,0.000000
46,1.533333,0.16301598,0.557752,0.506328,z,N01_01,ザ,0.044494,1.000000,1.000000,0.560015,0.012127
47,1.566667,0.18308491,0.754282,0.648454,a,N01_01,ザ,0.167324,1.000000,1.000000,0.552446,0.146456
48,1.6,0.15037551,0.445686,0.696446,a,N01_01,ザ,0.38765,1.000000,1.000000,0.544299,0.417586
49,1.633333,0.09372089,0.3952,0.663847,i,N01_01,イ,0.598305,1.000000,1.000000,0.535769,0.800000
50,1.666667,0.00367542,0.366081,0.478014,i,N01_01,イ,0.669861,1.000000,1.000000,0.527057,1.257707
51,1.7,0.01824525,0.46452,0.405393,g,N01_01,ゲ,0.602159,1.000000,1.000000,0.518360,1.747629
52,1.733333,0.12668915,0.618515,0.530341,e,N01_01,ゲ,0.479666,1.000000,1.000000,0.509870,2.223657
53,1.766667,0.14347743,0.472143,0.621149,e,N01_01,ゲ,0.365158,1.000000,1.000000,0.501769,2.640989
54,1.8,0.14316622,0.167552,0.672907,N,N01_01,ン,0.276562,1.000000,1.000000,0.494226,2.960347
55,1.833333,0.12827179,0.373871,0.685683,N,N01_01,ン,0.204854,1.000000,1.000000,0.487390,3.151675
56,1.866667,0.11417508,0.456457,0.677996,w,N01_01,ワ,0.135302,1.000000,1.000000,0.481392,3.196965
57,1.9,0.17153887,0.664373,0.735476,w,N01_01,ワ,0.047712,1.000000,1.000000,0.476335,3.091956
58,1.933333,0.14069447,0.664468,0.735758,a,N01_01,ワ,-0.09275,1.000000,1.000000,0.472300,2.846529
59,1.966667,0.01120842,0.352081,0.555754,d,N01_01,ド,-0.309079,1.000000,1.000000,0.469339,2.483784
60,2.0,0.07155085,0.429582,0.545242,d,N01_01,ド,-0.568963,1.000000,1.000000,0.466863,2.037861
61,2.033333,0.14673021,0.572583,0.633272,o,N01_01,ド,-0.793321,1.000000,1.000000,0.464151,1.550728
62,2.066667,0.14186649,0.453913,0.678422,o,N01_01,オ,-0.915433,1.000000,1.000000,0.461208,1.068232
63,2.1,0.11645481,0.20075,0.675454,s,N01_01,ス,-0.933322,1.000000,1.000000,0.458043,0.635785
64,2.133333,0.0342969,0.19,0.569095,s,N01_01,ス,-0.893477,1.000000,1.000000,0.454664,0.294085
65,2.166667,0.03159698,0.194464,0.494001,s,N01_01,ス,-0.836498,1.000000,1.000000,0.451080,0.075293
66,2.2,0.06566839,0.297603,0.497776,s,N01_01,ス,-0.783032,1.000000,1.000000,0.447301,0.000000
67,2.233333,0.09730426,0.24761,0.546532,u,N01_01,ス,-0.74547,1.000000,1.000000,0.443338,0.000000
68,2.266667,0.05606788,0.230906,0.518622,r,N01_01,ル,-0.730787,1.000000,1.000000,0.439201,0.000000
69,2.3,0.1391029,0.346199,0.609557,r,N01_01,ル,-0.741263,1.000000,1.000000,0.434902,0.000000
70,2.333333,0.15115293,0.333614,0.674967,n,N01_01,ノ,-0.779402,1.000000,1.000000,0.430453,0.000000
71,2.366667,0.13450704,0.354461,0.694062,n,N01_01,ノ,-0.837423,1.000000,1.000000,0.425865,0.000000
72,2.4,0.12946014,0.516872,0.699205,n,N01_01,ノ,-0.884886,1.000000,1.000000,0.421151,0.000000
73,2.433333,0.07494027,0.519991,0.644,o,N01_01,ノ,-0.875741,1.000000,1.000000,0.416325,0.000000
74,2.466667,0.00065954,0.453299,0.441326,k,N01_01,カ,-0.784779,1.000000,1.000000,0.411399,0.000000
75,2.5,0.01569017,0.551638,0.374636,k,N01_01,カ,-0.63353,1.000000,1.000000,0.406387,0.000000
76,2.533333,0.0691272,0.702442,0.434865,a,N01_01,カ,-0.460011,1.000000,1.000000,0.401303,0.000000
77,2.566667,0.07477718,0.706426,0.478235,a,N01_01,カ,-0.292529,1.000000,1.000000,0.396160,0.000000
78,2.6,0.03698921,0.68,0.443852,a,N01_01,カ,-0.163917,1.000000,1.000000,0.390973,0.000000
79,2.633333,0.00592855,0.34,0.343971,a,N01_01,カ,-0.107038,1.000000,1.000000,0.385756,0.000000
80,2.666667,0.00072659,0.0,0.244405,a,N01_01,カ,-0.072223,1.000000,1.000000,0.380524,0.000000
81,2.7,9.32e-06,0.0,0.161122,a,N01_01,カ,-0.013044,1.000000,1.000000,0.375289,0.000000
82,2.733333,0.0,0.0,0.106218,sp,N01_01,.,0.0,1.000000,1.000000,0.370068,0.000000
83,2.766667,0.0,0.0,0.070023,sp,N01_01,.,0.0,1.000000,1.000000,0.364874,0.000000
84,2.8,0.0,0.0,0.046162,sil,,,-0.095363,1.000000,1.000000,0.359721,0.000000
85,2.833333,0.0,0.0,0.030432,sil,,,-0.38957,1.000000,1.000000,0.354624,0.000000
86,2.866667,0.0,0.0,0.020062,sil,,,-0.603416,1.000000,1.000000,0.349597,0.000000
87,2.9,4.628e-05,0.123442,0.0,sil,,,-0.684377,1.000000,1.000000,0.344653,0.000000
88,2.933333,0.07625476,0.324354,0.238568,y,N01_02,ヨ,-0.765032,1.000000,1.000000,0.339805,0.000000
89,2.966667,0.15685916,0.394986,0.468194,y,N01_02,ヨ,-0.841679,1.000000,1.000000,0.335068,0.000000
90,3.0,0.16486251,0.547635,0.608291,o,N01_02,ヨ,-0.900387,1.000000,1.000000,0.330454,0.000000
91,3.033333,0.07639004,0.482536,0.585829,o,N01_02,ヨ,-0.915743,1.000000,1.000000,0.325976,0.000000
92,3.066667,0.00052717,0.245048,0.386202,k,N01_02,ク,-0.868924,1.000000,1.000000,0.321646,0.000000
93,3.1,0.03675086,0.326015,0.382765,k,N01_02,ク,-0.751246,1.000000,1.000000,0.317476,0.000000
94,3.133333,0.07687862,0.29588,0.451536,u,N01_02,ク,-0.540568,1.000000,1.000000,0.313477,0.000000
95,3.166667,0.0060226,0.241796,0.349444,k,N01_02,キ,-0.228259,1.000000,1.000000,0.309661,0.000000
96,3.2,0.01278111,0.258843,0.305891,k,N01_02,キ,0.128904,1.000000,1.000000,0.306037,0.000000
97,3.233333,0.02172328,0.233534,0.300164,k,N01_02,キ,0.407138,1.000000,1.000000,0.302616,0.000000
98,3.266667,0.00098435,0.047225,0.218536,i,N01_02,キ,0.456227,1.000000,1.000000,0.299407,0.000000
99,3.3,0.0103432,0.198549,0.211989,k,N01_02,ク,0.229907,1.000000,1.000000,0.296419,0.000000
100,3.333333,0.04116945,0.274225,0.291318,k,N01_02,ク,-0.145595,1.000000,1.000000,0.293660,0.000000
101,3.366667,0.07566283,0.335429,0.397226,u,N01_02,ク,-0.494221,1.000000,1.000000,0.291138,0.000000
102,3.4,0.00511562,0.330463,0.309562,k,N01_02,コ,-0.723268,1.000000,1.000000,0.288860,0.000000
103,3.433333,0.01212597,0.345208,0.277633,k,N01_02,コ,-0.848823,1.000000,1.000000,0.286831,0.000000
104,3.466667,0.05222433,0.511388,0.350427,k,N01_02,コ,-0.923542,1.000000,1.000000,0.285057,0.000000
105,3.5,0.12215611,0.410264,0.493428,o,N01_02,コ,-0.969918,1.000000,1.000000,0.283544,0.000000
106,3.533333,0.12519875,0.34512,0.579094,n,N01_02,ノ,-0.992193,1.000000,1.000000,0.282295,0.000000
107,3.566667,0.12269473,0.505853,0.62527,n,N01_02,ノ,-0.998869,1.000000,1.000000,0.281599,0.000000
108,3.6,0.0968523,0.407822,0.620318,o,N01_02,ノ,-0.999957,1.000000,1.000000,0.282426,0.000000
109,3.633333,0.00483611,0.330855,0.455303,t,N01_02,ト,-0.997109,1.000000,1.000000,0.284825,0.000000
110,3.666667,0.00853692,0.395016,0.361841,t,N01_02,ト,-0.964925,1.000000,1.000000,0.288733,0.000000
111,3.7,0.08274261,0.546893,0.448217,o,N01_02,ト,-0.817254,1.000000,1.000000,0.294061,0.000000
112,3.733333,0.11084381,0.485999,0.535665,o,N01_02,ト,-0.443251,1.000000,1.000000,0.300692,0.000000
113,3.766667,0.10962834,0.408007,0.584307,i,N01_02,イ,0.106507,1.000000,1.000000,0.308484,0.000000
114,3.8,0.11111671,0.344876,0.61409,i,N01_02,イ,0.581183,1.000000,1.000000,0.317277,0.000000
115,3.833333,0.12358444,0.243891,0.64641,n,N01_02,ニ,0.820743,1.000000,1.000000,0.326892,0.000000
116,3.866667,0.12031295,0.244016,0.661034,n,N01_02,ニ,0.889721,1.000000,1.000000,0.337138,0.000000
117,3.9,0.11992982,0.335028,0.668963,n,N01_02,ニ,0.899567,1.000000,1.000000,0.347816,0.000000
118,3.933333,0.10606103,0.384831,0.658793,i,N01_02,ニ,0.897617,1.000000,1.000000,0.358719,0.000000
119,3.966667,0.05969592,0.36564,0.597675,i,N01_02,ニ,0.887718,1.000000,1.000000,0.369643,0.000000
120,4.0,0.00262136,0.086994,0.428055,i,N01_02,ニ,0.699058,1.000000,1.000000,0.380389,0.000000
121,4.033333,0.00011419,0.0,0.282191,i,N01_02,ニ,0.232285,1.000000,1.000000,0.390763,0.000000
122,4.066667,3.052e-05,0.0,0.186032,sp,N01_02,",",0.0,1.000000,1.000000,0.400588,0.000000
123,4.1,3.052e-05,0.0,0.12264,sp,N01_02,",",0.0,0.450000,0.450000,0.409703,0.000000
124,4.133333,3.052e-05,0.0,0.080849,sp,N01_02,",",0.0,0.000000,0.000000,0.417964,0.000000
125,4.166667,3.052e-05,0.0,0.053299,sp,N01_02,",",0.0,0.000000,0.000000,0.425255,0.000000
126,4.2,3.052e-05,0.0,0.035137,sp,N01_02,",",0.0,0.250000,0.250000,0.431482,0.000000
127,4.233333,3.052e-05,0.0,0.023164,sp,N01_02,",",0.0,0.600000,0.600000,0.436580,0.000000
128,4.266667,3.052e-05,0.0,0.0,sp,N01_02,",",0.0,0.840000,0.840000,0.440514,0.000000
129,4.3,3.052e-05,0.0,0.0,sp,N01_02,",",0.0,1.000000,1.000000,0.443276,0.000000
130,4.333333,3.052e-05,0.0,0.0,sp,N01_02,",",0.0,1.000000,1.000000,0.444888,0.000000
131,4.366667,3.052e-05,0.0,0.0,sp,N01_02,",",0.0,1.000000,1.000000,0.445403,0.000000
132,4.4,3.052e-05,0.055706,0.0,sp,N01_02,",",0.0,1.000000,1.000000,0.444898,0.000000
133,4.433333,0.00856364,0.395706,0.078937,a,N01_02,ア,0.0,1.000000,1.000000,0.443478,0.000000
134,4.466667,0.15518219,0.735706,0.374829,a,N01_02,ア,0.054802,1.000000,1.000000,0.441268,0.000000
135,4.5,0.19993877,0.788045,0.577369,a,N01_02,ア,0.204949,1.000000,1.000000,0.438414,0.000000
136,4.533333,0.16866392,0.604348,0.674825,a,N01_02,ア,0.408357,1.000000,1.000000,0.435078,0.000000
137,4.566667,0.1087497,0.396968,0.665402,i,N01_02,イ,0.572964,1.000000,1.000000,0.431435,0.000000
138,4.6,0.02149399,0.430217,0.536646,i,N01_02,イ,0.581587,1.000000,1.000000,0.427667,0.000000
139,4.633333,0.03527191,0.586307,0.479336,d,N01_02,ダ,0.423703,1.000000,1.000000,0.423959,0.000000
140,4.666667,0.12209986,0.711871,0.567322,a,N01_02,ダ,0.216638,1.000000,1.000000,0.420496,0.000000
141,4.7,0.03126074,0.487494,0.492198,a,N01_02,ダ,0.073055,1.000000,1.000000,0.417459,0.000000
142,4.733333,0.01076476,0.50718,0.393772,t,N01_02,タ,0.007672,1.000000,1.000000,0.415018,0.000000
143,4.766667,0.09972153,0.523268,0.490081,a,N01_02,タ,-0.040415,1.000000,1.000000,0.413329,0.000000
144,4.8,0.04904368,0.183268,0.471153,a,N01_02,タ,-0.137471,1.000000,1.000000,0.412533,0.000000
145,4.833333,0.00038837,0.132828,0.310603,k,N01_02,ク,-0.287794,1.000000,1.000000,0.412748,0.000000
146,4.866667,0.07448446,0.312396,0.406492,k,N01_02,ク,-0.395165,1.000000,1.000000,0.414068,0.000000
147,4.9,0.08211148,0.212359,0.472916,u,N01_02,ク,-0.32079,1.000000,1.000000,0.416564,0.000000
148,4.933333,0.038663,0.192328,0.443224,j,N01_02,ジ,-0.035277,1.000000,1.000000,0.420276,0.000000
149,4.966667,0.05580726,0.295861,0.451887,j,N01_02,ジ,0.325011,1.000000,1.000000,0.424932,0.000000
150,5.0,0.06151079,0.257207,0.466713,i,N01_02,ジ,0.569053,1.000000,1.000000,0.429925,0.000000
151,5.033333,0.04098014,0.190311,0.443021,s,N01_02,サ,0.600581,1.000000,1.000000,0.436072,0.000000
152,5.066667,0.0254243,0.24799,0.398638,s,N01_02,サ,0.473003,1.000000,1.000000,0.443366,0.000000
153,5.1,0.10572216,0.58799,0.500707,s,N01_02,サ,0.293776,1.000000,1.000000,0.451728,0.000000
154,5.133333,0.13242733,0.754898,0.591698,a,N01_02,サ,0.138454,1.000000,1.000000,0.461054,0.000000
155,5.166667,0.11725948,0.414898,0.625936,a,N01_02,サ,0.045134,1.000000,1.000000,0.471213,0.000000
156,5.2,0.1033314,0.188746,0.628026,N,N01_02,ン,0.008995,1.000000,1.000000,0.482053,0.000000
157,5.233333,0.09467422,0.420784,0.61978,N,N01_02,ン,0.0,1.000000,1.000000,0.493403,0.000000
158,5.266667,0.09936399,0.474334,0.619381,w,N01_02,ワ,0.0,1.000000,1.000000,0.505077,0.000000
159,5.3,0.09200768,0.67516,0.611161,w,N01_02,ワ,0.0,1.000000,1.000000,0.516877,0.000000
160,5.333333,0.08884467,0.710064,0.602225,a,N01_02,ワ,0.0,1.000000,1.000000,0.528597,0.000000
161,5.366667,0.05959008,0.710064,0.560238,a,N01_02,ワ,0.0,1.000000,1.000000,0.540030,0.000000
162,5.4,0.00853752,0.467084,0.43102,a,N01_02,ワ,0.009908,1.000000,1.000000,0.550970,0.000000
163,5.433333,0.00169542,0.127084,0.311436,a,N01_02,ワ,0.018068,1.000000,1.000000,0.561217,0.000000
164,5.466667,7.069e-05,0.0,0.205311,a,N01_02,ワ,0.009899,1.000000,1.000000,0.570583,0.000000
165,5.5,3.052e-05,0.0,0.13535,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.578892,0.000000
166,5.533333,3.052e-05,0.0,0.089228,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.585989,0.000000
167,5.566667,3.052e-05,0.0,0.058823,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.591739,0.000000
168,5.6,3.052e-05,0.0,0.038778,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.596034,0.000000
169,5.633333,3.052e-05,0.0,0.025564,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.598791,0.000000
170,5.666667,3.052e-05,0.0,0.016853,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.599957,0.000000
171,5.7,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.599510,0.000000
172,5.733333,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.597458,0.000000
173,5.766667,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.593838,0.000000
174,5.8,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.588718,0.000000
175,5.833333,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa],0.0,1.000000,1.000000,0.582196,0.000000
176,5.866667,2.98e-05,0.250056,0.0,k,N01_02,ケ,0.015768,1.000000,1.000000,0.574393,-0.063426
177,5.9,0.01822865,0.456141,0.113654,k,N01_02,ケ,0.166714,1.000000,1.000000,0.565455,-0.314544
178,5.933333,0.09081099,0.615718,0.317281,e,N01_02,ケ,0.370058,1.000000,1.000000,0.555547,-0.733702
179,5.966667,0.15734397,0.560929,0.513868,e,N01_02,ケ,0.501033,1.000000,1.000000,0.544853,-1.281450
180,6.0,0.13673509,0.386424,0.604161,i,N01_02,イ,0.623014,1.000000,1.000000,0.533567,-1.906236
181,6.033333,0.0940075,0.209687,0.603322,i,N01_02,イ,0.643384,1.000000,1.000000,0.521894,-2.549259
182,6.066667,0.030396,0.191363,0.514282,z,N01_02,ザ,0.531364,1.000000,1.000000,0.510040,-3.150000
183,6.1,0.04564299,0.415257,0.481878,z,N01_02,ザ,0.376678,1.000000,1.000000,0.498213,-3.651919
184,6.133333,0.14968932,0.755257,0.600132,a,N01_02,ザ,0.314303,1.000000,1.000000,0.486616,-4.007777
185,6.166667,0.15513918,0.481166,0.67382,a,N01_02,ザ,0.422668,1.000000,1.000000,0.475440,-4.184083
186,6.2,0.11711557,0.326435,0.673068,i,N01_02,イ,0.602716,1.000000,1.000000,0.464865,-4.164244
187,6.233333,0.05004209,0.194052,0.593285,s,N01_02,セ,0.682537,1.000000,1.000000,0.455054,-3.950126
188,6.266667,0.02835357,0.199426,0.503678,s,N01_02,セ,0.635346,1.000000,1.000000,0.446148,-3.561881
189,6.3,0.06274553,0.466154,0.49954,s,N01_02,セ,0.550265,1.000000,1.000000,0.438265,-3.036051
190,6.333333,0.12451008,0.597713,0.581786,e,N01_02,セ,0.517261,1.000000,1.000000,0.431496,-2.422122
191,6.366667,0.1211925,0.431807,0.625015,e,N01_02,セ,0.562585,1.000000,1.000000,0.425906,-1.777878
192,6.4,0.07794674,0.381131,0.598729,i,N01_02,イ,0.583606,1.000000,1.000000,0.421151,-1.163949
193,6.433333,0.00406265,0.242411,0.437176,i,N01_02,イ,0.43459,1.000000,1.000000,0.416325,-0.638119
194,6.466667,0.03447609,0.190879,0.412336,ch,N01_02,チョ,0.104112,1.000000,1.000000,0.411399,-0.249874
195,6.5,0.06792802,0.331871,0.454578,ch,N01_02,チョ,-0.298488,1.000000,1.000000,0.406387,-0.035756
196,6.533333,0.12971441,0.561165,0.562096,o,N01_02,チョ,-0.653964,1.000000,1.000000,0.401303,0.000000
197,6.566667,0.13245255,0.546335,0.626949,o,N01_02,チョ,-0.879932,1.000000,1.000000,0.396160,0.000000
198,6.6,0.08917144,0.265805,0.612999,o,N01_02,オ,-0.973654,1.000000,1.000000,0.390973,0.000000
199,6.633333,0.00097802,0.11519,0.424701,t,N01_02,ト,-0.982219,1.000000,1.000000,0.385756,0.000000
200,6.666667,0.02895893,0.449884,0.393737,t,N01_02,ト,-0.89418,1.000000,1.000000,0.380524,0.000000
201,6.7,0.10414802,0.534461,0.495862,o,N01_02,ト,-0.625138,1.000000,1.000000,0.375289,0.000000
202,6.733333,0.12044027,0.417638,0.57481,o,N01_02,ト,-0.234258,1.000000,1.000000,0.370068,0.000000
203,6.766667,0.11294102,0.366309,0.610922,i,N01_02,イ,-0.038325,1.000000,1.000000,0.364874,0.000000
204,6.8,0.10478952,0.35002,0.621303,u,N01_02,ウ,-0.125672,1.000000,1.000000,0.359721,0.000000
205,6.833333,0.09473142,0.23388,0.61541,u,N01_02,ウ,-0.166267,1.000000,1.000000,0.354624,0.000000
206,6.866667,0.06409939,0.190411,0.574996,sh,N01_02,シ,0.033184,1.000000,1.000000,0.349597,0.000000
207,6.9,0.06961695,0.229374,0.555493,sh,N01_02,シ,0.347003,1.000000,1.000000,0.344653,0.000000
208,6.933333,0.01715691,0.070906,0.453732,i,N01_02,シ,0.581204,1.000000,1.000000,0.339805,0.000000
209,6.966667,9.743e-05,0.265623,0.299118,t,N01_02,テ,0.630614,1.000000,1.000000,0.335068,0.000000
210,7.0,0.06361592,0.573502,0.382583,t,N01_02,テ,0.534405,1.000000,1.000000,0.330454,0.000000
211,7.033333,0.12350349,0.390705,0.513486,e,N01_02,テ,0.401023,1.000000,1.000000,0.325976,0.000000
212,7.066667,0.13152242,0.144533,0.597988,N,N01_02,ン,0.29433,1.000000,1.000000,0.321646,0.000000
213,7.1,0.1149745,0.185977,0.62674,N,N01_02,ン,0.216165,1.000000,1.000000,0.317476,0.000000
214,7.133333,0.01111658,0.420924,0.483594,N,N01_02,ン,0.149768,1.000000,1.000000,0.313477,0.000000
215,7.166667,0.02257713,0.537595,0.419233,k,N01_02,カ,0.089481,1.000000,1.000000,0.309661,0.000000
216,7.2,0.10439935,0.634371,0.510816,a,N01_02,カ,0.041406,1.000000,1.000000,0.306037,0.000000
217,7.233333,0.09217854,0.457031,0.547046,r,N01_02,ラ,0.013213,1.000000,1.000000,0.302616,0.000000
218,7.266667,0.12337144,0.598932,0.607689,r,N01_02,ラ,0.0,1.000000,1.000000,0.299407,0.000000
219,7.3,0.10327696,0.715556,0.617486,a,N01_02,ラ,0.0,1.000000,1.000000,0.296419,0.000000
220,7.333333,0.06314548,0.68,0.5751,a,N01_02,ラ,-0.019214,1.000000,1.000000,0.293660,0.000000
221,7.366667,0.01038195,0.34,0.447177,a,N01_02,ラ,-0.058865,1.000000,1.000000,0.291138,0.000000
222,7.4,0.00049752,0.0,0.294797,a,N01_02,ラ,-0.125131,1.000000,1.000000,0.288860,0.000000
223,7.433333,2.974e-05,0.0,0.194342,k,N01_02,コ,-0.207089,1.000000,1.000000,0.286831,0.000000
224,7.466667,3.052e-05,0.0,0.128118,k,N01_02,コ,-0.294006,1.000000,1.000000,0.285057,0.000000
225,7.5,3.052e-05,0.0,0.084461,k,N01_02,コ,-0.381712,1.000000,1.000000,0.283544,0.000000
226,7.533333,3.052e-05,0.0,0.05568,k,N01_02,コ,-0.469431,1.000000,1.000000,0.282295,0.000000
227,7.566667,3.052e-05,0.0,0.036707,k,N01_02,コ,-0.557151,1.000000,1.000000,0.281314,0.000000
228,7.6,3.052e-05,0.0,0.024198,k,N01_02,コ,-0.64487,1.000000,1.000000,0.280604,0.000000
229,7.633333,3.173e-05,0.108848,0.015953,k,N01_02,コ,-0.732252,1.000000,1.000000,0.280166,0.000000
230,7.666667,0.01941437,0.327004,0.125632,k,N01_02,コ,-0.81352,1.000000,1.000000,0.280001,0.000000
231,7.7,0.02999122,0.472979,0.216894,k,N01_02,コ,-0.864448,1.000000,1.000000,0.280111,0.000000
232,7.733333,0.10323546,0.501815,0.393212,o,N01_02,コ,-0.835917,1.000000,1.000000,0.280494,0.000000
233,7.766667,0.01463712,0.448979,0.340054,t,N01_02,タ,-0.695927,1.000000,1.000000,0.281151,0.000000
234,7.8,0.01662881,0.499718,0.310346,t,N01_02,タ,-0.473558,1.000000,1.000000,0.282078,0.000000
235,7.833333,0.14925599,0.761345,0.501246,t,N01_02,タ,-0.226205,1.000000,1.000000,0.283273,0.000000
