frame,time_s,rms,mouth_open_y,v1_open,phoneme,sentence,mora
51,1.7,0.01824525,0.46452,0.405393,g,N01_01,ゲ
52,1.733333,0.12668915,0.618515,0.530341,e,N01_01,ゲ
53,1.766667,0.14347743,0.472143,0.621149,e,N01_01,ゲ
54,1.8,0.14316622,0.167552,0.672907,N,N01_01,ン
55,1.833333,0.12827179,0.373871,0.685683,N,N01_01,ン
56,1.866667,0.11417508,0.456457,0.677996,w,N01_01,ワ
57,1.9,0.17153887,0.664373,0.735476,w,N01_01,ワ
58,1.933333,0.14069447,0.664468,0.735758,a,N01_01,ワ
59,1.966667,0.01120842,0.352081,0.555754,d,N01_01,ド
60,2.0,0.07155085,0.429582,0.545242,d,N01_01,ド
61,2.033333,0.14673021,0.572583,0.633272,o,N01_01,ド
62,2.066667,0.14186649,0.453913,0.678422,o,N01_01,オ
63,2.1,0.11645481,0.20075,0.675454,s,N01_01,ス
64,2.133333,0.0342969,0.19,0.569095,s,N01_01,ス
65,2.166667,0.03159698,0.194464,0.494001,s,N01_01,ス
66,2.2,0.06566839,0.297603,0.497776,s,N01_01,ス
67,2.233333,0.09730426,0.24761,0.546532,u,N01_01,ス
68,2.266667,0.05606788,0.230906,0.518622,r,N01_01,ル
69,2.3,0.1391029,0.346199,0.609557,r,N01_01,ル
70,2.333333,0.15115293,0.333614,0.674967,n,N01_01,ノ
71,2.366667,0.13450704,0.354461,0.694062,n,N01_01,ノ
72,2.4,0.12946014,0.516872,0.699205,n,N01_01,ノ
73,2.433333,0.07494027,0.519991,0.644,o,N01_01,ノ
74,2.466667,0.00065954,0.453299,0.441326,k,N01_01,カ
75,2.5,0.01569017,0.551638,0.374636,k,N01_01,カ
76,2.533333,0.0691272,0.702442,0.434865,a,N01_01,カ
77,2.566667,0.07477718,0.706426,0.478235,a,N01_01,カ
78,2.6,0.03698921,0.68,0.443852,a,N01_01,カ
79,2.633333,0.00592855,0.34,0.343971,a,N01_01,カ
80,2.666667,0.00072659,0.0,0.244405,a,N01_01,カ
81,2.7,9.32e-06,0.0,0.161122,a,N01_01,カ
82,2.733333,0.0,0.0,0.106218,sp,N01_01,.
83,2.766667,0.0,0.0,0.070023,sp,N01_01,.
84,2.8,0.0,0.0,0.046162,sil,,
85,2.833333,0.0,0.0,0.030432,sil,,
86,2.866667,0.0,0.0,0.020062,sil,,
87,2.9,4.628e-05,0.123442,0.0,sil,,
88,2.933333,0.07625476,0.324354,0.238568,y,N01_02,ヨ
89,2.966667,0.15685916,0.394986,0.468194,y,N01_02,ヨ
90,3.0,0.16486251,0.547635,0.608291,o,N01_02,ヨ
91,3.033333,0.07639004,0.482536,0.585829,o,N01_02,ヨ
92,3.066667,0.00052717,0.245048,0.386202,k,N01_02,ク
93,3.1,0.03675086,0.326015,0.382765,k,N01_02,ク
94,3.133333,0.07687862,0.29588,0.451536,u,N01_02,ク
95,3.166667,0.0060226,0.241796,0.349444,k,N01_02,キ
96,3.2,0.01278111,0.258843,0.305891,k,N01_02,キ
97,3.233333,0.02172328,0.233534,0.300164,k,N01_02,キ
98,3.266667,0.00098435,0.047225,0.218536,i,N01_02,キ
99,3.3,0.0103432,0.198549,0.211989,k,N01_02,ク
100,3.333333,0.04116945,0.274225,0.291318,k,N01_02,ク
101,3.366667,0.07566283,0.335429,0.397226,u,N01_02,ク
102,3.4,0.00511562,0.330463,0.309562,k,N01_02,コ
103,3.433333,0.01212597,0.345208,0.277633,k,N01_02,コ
104,3.466667,0.05222433,0.511388,0.350427,k,N01_02,コ
105,3.5,0.12215611,0.410264,0.493428,o,N01_02,コ
106,3.533333,0.12519875,0.34512,0.579094,n,N01_02,ノ
107,3.566667,0.12269473,0.505853,0.62527,n,N01_02,ノ
108,3.6,0.0968523,0.407822,0.620318,o,N01_02,ノ
109,3.633333,0.00483611,0.330855,0.455303,t,N01_02,ト
110,3.666667,0.00853692,0.395016,0.361841,t,N01_02,ト
111,3.7,0.08274261,0.546893,0.448217,o,N01_02,ト
112,3.733333,0.11084381,0.485999,0.535665,o,N01_02,ト
113,3.766667,0.10962834,0.408007,0.584307,i,N01_02,イ
114,3.8,0.11111671,0.344876,0.61409,i,N01_02,イ
115,3.833333,0.12358444,0.243891,0.64641,n,N01_02,ニ
116,3.866667,0.12031295,0.244016,0.661034,n,N01_02,ニ
117,3.9,0.11992982,0.335028,0.668963,n,N01_02,ニ
118,3.933333,0.10606103,0.384831,0.658793,i,N01_02,ニ
119,3.966667,0.05969592,0.36564,0.597675,i,N01_02,ニ
120,4.0,0.00262136,0.086994,0.428055,i,N01_02,ニ
121,4.033333,0.00011419,0.0,0.282191,i,N01_02,ニ
122,4.066667,3.052e-05,0.0,0.186032,sp,N01_02,","
123,4.1,3.052e-05,0.0,0.12264,sp,N01_02,","
124,4.133333,3.052e-05,0.0,0.080849,sp,N01_02,","
125,4.166667,3.052e-05,0.0,0.053299,sp,N01_02,","
126,4.2,3.052e-05,0.0,0.035137,sp,N01_02,","
127,4.233333,3.052e-05,0.0,0.023164,sp,N01_02,","
128,4.266667,3.052e-05,0.0,0.0,sp,N01_02,","
129,4.3,3.052e-05,0.0,0.0,sp,N01_02,","
130,4.333333,3.052e-05,0.0,0.0,sp,N01_02,","
131,4.366667,3.052e-05,0.0,0.0,sp,N01_02,","
132,4.4,3.052e-05,0.055706,0.0,sp,N01_02,","
133,4.433333,0.00856364,0.395706,0.078937,a,N01_02,ア
134,4.466667,0.15518219,0.735706,0.374829,a,N01_02,ア
135,4.5,0.19993877,0.788045,0.577369,a,N01_02,ア
136,4.533333,0.16866392,0.604348,0.674825,a,N01_02,ア
137,4.566667,0.1087497,0.396968,0.665402,i,N01_02,イ
138,4.6,0.02149399,0.430217,0.536646,i,N01_02,イ
139,4.633333,0.03527191,0.586307,0.479336,d,N01_02,ダ
140,4.666667,0.12209986,0.711871,0.567322,a,N01_02,ダ
141,4.7,0.03126074,0.487494,0.492198,a,N01_02,ダ
142,4.733333,0.01076476,0.50718,0.393772,t,N01_02,タ
143,4.766667,0.09972153,0.523268,0.490081,a,N01_02,タ
144,4.8,0.04904368,0.183268,0.471153,a,N01_02,タ
145,4.833333,0.00038837,0.132828,0.310603,k,N01_02,ク
146,4.866667,0.07448446,0.312396,0.406492,k,N01_02,ク
147,4.9,0.08211148,0.212359,0.472916,u,N01_02,ク
148,4.933333,0.038663,0.192328,0.443224,j,N01_02,ジ
149,4.966667,0.05580726,0.295861,0.451887,j,N01_02,ジ
150,5.0,0.06151079,0.257207,0.466713,i,N01_02,ジ
151,5.033333,0.04098014,0.190311,0.443021,s,N01_02,サ
152,5.066667,0.0254243,0.24799,0.398638,s,N01_02,サ
153,5.1,0.10572216,0.58799,0.500707,s,N01_02,サ
154,5.133333,0.13242733,0.754898,0.591698,a,N01_02,サ
155,5.166667,0.11725948,0.414898,0.625936,a,N01_02,サ
156,5.2,0.1033314,0.188746,0.628026,N,N01_02,ン
157,5.233333,0.09467422,0.420784,0.61978,N,N01_02,ン
158,5.266667,0.09936399,0.474334,0.619381,w,N01_02,ワ
159,5.3,0.09200768,0.67516,0.611161,w,N01_02,ワ
160,5.333333,0.08884467,0.710064,0.602225,a,N01_02,ワ
161,5.366667,0.05959008,0.710064,0.560238,a,N01_02,ワ
162,5.4,0.00853752,0.467084,0.43102,a,N01_02,ワ
163,5.433333,0.00169542,0.127084,0.311436,a,N01_02,ワ
164,5.466667,7.069e-05,0.0,0.205311,a,N01_02,ワ
165,5.5,3.052e-05,0.0,0.13535,sp,N01_02,[observed_pause: N01_02 san-wa]
166,5.533333,3.052e-05,0.0,0.089228,sp,N01_02,[observed_pause: N01_02 san-wa]
167,5.566667,3.052e-05,0.0,0.058823,sp,N01_02,[observed_pause: N01_02 san-wa]
168,5.6,3.052e-05,0.0,0.038778,sp,N01_02,[observed_pause: N01_02 san-wa]
169,5.633333,3.052e-05,0.0,0.025564,sp,N01_02,[observed_pause: N01_02 san-wa]
170,5.666667,3.052e-05,0.0,0.016853,sp,N01_02,[observed_pause: N01_02 san-wa]
171,5.7,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa]
172,5.733333,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa]
173,5.766667,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa]
174,5.8,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa]
175,5.833333,3.052e-05,0.0,0.0,sp,N01_02,[observed_pause: N01_02 san-wa]
176,5.866667,2.98e-05,0.250056,0.0,k,N01_02,ケ
177,5.9,0.01822865,0.456141,0.113654,k,N01_02,ケ
178,5.933333,0.09081099,0.615718,0.317281,e,N01_02,ケ
179,5.966667,0.15734397,0.560929,0.513868,e,N01_02,ケ
180,6.0,0.13673509,0.386424,0.604161,i,N01_02,イ
181,6.033333,0.0940075,0.209687,0.603322,i,N01_02,イ
182,6.066667,0.030396,0.191363,0.514282,z,N01_02,ザ
183,6.1,0.04564299,0.415257,0.481878,z,N01_02,ザ
184,6.133333,0.14968932,0.755257,0.600132,a,N01_02,ザ
185,6.166667,0.15513918,0.481166,0.67382,a,N01_02,ザ
186,6.2,0.11711557,0.326435,0.673068,i,N01_02,イ
187,6.233333,0.05004209,0.194052,0.593285,s,N01_02,セ
188,6.266667,0.02835357,0.199426,0.503678,s,N01_02,セ
189,6.3,0.06274553,0.466154,0.49954,s,N01_02,セ
190,6.333333,0.12451008,0.597713,0.581786,e,N01_02,セ
191,6.366667,0.1211925,0.431807,0.625015,e,N01_02,セ
192,6.4,0.07794674,0.381131,0.598729,i,N01_02,イ
193,6.433333,0.00406265,0.242411,0.437176,i,N01_02,イ
194,6.466667,0.03447609,0.190879,0.412336,ch,N01_02,チョ
195,6.5,0.06792802,0.331871,0.454578,ch,N01_02,チョ
196,6.533333,0.12971441,0.561165,0.562096,o,N01_02,チョ
197,6.566667,0.13245255,0.546335,0.626949,o,N01_02,チョ
198,6.6,0.08917144,0.265805,0.612999,o,N01_02,オ
199,6.633333,0.00097802,0.11519,0.424701,t,N01_02,ト
200,6.666667,0.02895893,0.449884,0.393737,t,N01_02,ト
201,6.7,0.10414802,0.534461,0.495862,o,N01_02,ト
202,6.733333,0.12044027,0.417638,0.57481,o,N01_02,ト
203,6.766667,0.11294102,0.366309,0.610922,i,N01_02,イ
204,6.8,0.10478952,0.35002,0.621303,u,N01_02,ウ
205,6.833333,0.09473142,0.23388,0.61541,u,N01_02,ウ
206,6.866667,0.06409939,0.190411,0.574996,sh,N01_02,シ
207,6.9,0.06961695,0.229374,0.555493,sh,N01_02,シ
208,6.933333,0.01715691,0.070906,0.453732,i,N01_02,シ
209,6.966667,9.743e-05,0.265623,0.299118,t,N01_02,テ
210,7.0,0.06361592,0.573502,0.382583,t,N01_02,テ
211,7.033333,0.12350349,0.390705,0.513486,e,N01_02,テ
212,7.066667,0.13152242,0.144533,0.597988,N,N01_02,ン
213,7.1,0.1149745,0.185977,0.62674,N,N01_02,ン
214,7.133333,0.01111658,0.420924,0.483594,N,N01_02,ン
215,7.166667,0.02257713,0.537595,0.419233,k,N01_02,カ
216,7.2,0.10439935,0.634371,0.510816,a,N01_02,カ
217,7.233333,0.09217854,0.457031,0.547046,r,N01_02,ラ
218,7.266667,0.12337144,0.598932,0.607689,r,N01_02,ラ
219,7.3,0.10327696,0.715556,0.617486,a,N01_02,ラ
220,7.333333,0.06314548,0.68,0.5751,a,N01_02,ラ
221,7.366667,0.01038195,0.34,0.447177,a,N01_02,ラ
222,7.4,0.00049752,0.0,0.294797,a,N01_02,ラ
223,7.433333,2.974e-05,0.0,0.194342,k,N01_02,コ
224,7.466667,3.052e-05,0.0,0.128118,k,N01_02,コ
225,7.5,3.052e-05,0.0,0.084461,k,N01_02,コ
226,7.533333,3.052e-05,0.0,0.05568,k,N01_02,コ
227,7.566667,3.052e-05,0.0,0.036707,k,N01_02,コ
228,7.6,3.052e-05,0.0,0.024198,k,N01_02,コ
229,7.633333,3.173e-05,0.108848,0.015953,k,N01_02,コ
230,7.666667,0.01941437,0.327004,0.125632,k,N01_02,コ
231,7.7,0.02999122,0.472979,0.216894,k,N01_02,コ
232,7.733333,0.10323546,0.501815,0.393212,o,N01_02,コ
233,7.766667,0.01463712,0.448979,0.340054,t,N01_02,タ
234,7.8,0.01662881,0.499718,0.310346,t,N01_02,タ
235,7.833333,0.14925599,0.761345,0.501246,t,N01_02,タ
236,7.866667,0.16076588,0.676141,0.623007,a,N01_02,タ
237,7.9,0.11510754,0.58344,0.641259,e,N01_02,エ
238,7.933333,0.0109319,0.478701,0.492576,e,N01_02,エ
239,7.966667,0.00713663,0.428675,0.381107,t,N01_02,テ
240,8.0,0.07647575,0.519394,0.449976,e,N01_02,テ
241,8.033333,0.11568259,0.387846,0.54269,i,N01_02,イ
242,8.066667,0.12192198,0.078774,0.603459,i,N01_02,イ
243,8.1,0.1253543,0.0,0.642409,m,N01_02,マ
244,8.133333,0.1236461,0.156838,0.662732,m,N01_02,マ
245,8.166667,0.0991665,0.496838,0.647486,a,N01_02,マ
246,8.2,0.06057634,0.208257,0.591422,s,N01_02,ス
247,8.233333,0.02892812,0.19,0.503585,s,N01_02,ス
248,8.266667,0.02862157,0.19,0.445075,s,N01_02,ス
249,8.3,0.01833105,0.174651,0.383891,s,N01_02,ス
250,8.333333,0.00510924,0.030557,0.30074,s,N01_02,ス
251,8.366667,0.0003136,0.0,0.19826,u,N01_02,ス
252,8.4,0.0,0.0,0.130701,u,N01_02,ス
253,8.433333,0.0,0.0,0.086164,sp,N01_02,.
254,8.466667,0.0,0.0,0.056803,sil,,
255,8.5,0.0,0.0,0.037447,sil,,
256,8.533333,0.0,0.0,0.024686,sil,,
257,8.566667,0.0,0.059133,0.016274,k,N01_03,コ
258,8.6,0.02017722,0.31206,0.128086,k,N01_03,コ
259,8.633333,0.07740465,0.469296,0.306206,k,N01_03,コ
260,8.666667,0.1003898,0.517893,0.440724,o,N01_03,コ
261,8.7,0.00302852,0.273432,0.327164,o,N01_03,コ
262,8.733333,0.03720985,0.232709,0.349028,k,N01_03,ク
263,8.766667,0.06477556,0.29724,0.413134,k,N01_03,ク
264,8.8,0.04643842,0.197999,0.417266,s,N01_03,サ
265,8.833333,0.03945502,0.284581,0.407879,s,N01_03,サ
266,8.866667,0.17123404,0.624581,0.580188,s,N01_03,サ
267,8.9,0.21034901,0.759856,0.695194,a,N01_03,サ
268,8.933333,0.1573992,0.466982,0.730755,a,N01_03,サ
269,8.966667,0.13660058,0.522891,0.728911,i,N01_03,イ
270,9.0,0.1555392,0.638001,0.748133,e,N01_03,エ
271,9.033333,0.17060195,0.591996,0.77477,e,N01_03,エ
272,9.066667,0.18993552,0.356734,0.806837,e,N01_03,エ
273,9.1,0.18903616,0.40595,0.825235,n,N01_03,ノ
274,9.133333,0.20359478,0.401947,0.835791,o,N01_03,ノ
275,9.166667,0.14528597,0.12822,0.805894,f,N01_03,フ
276,9.2,0.03416053,0.120638,0.65484,f,N01_03,フ
277,9.233333,0.0486901,0.217778,0.579233,f,N01_03,フ
278,9.266667,0.14804896,0.376372,0.654211,u,N01_03,フ
279,9.3,0.15693992,0.617892,0.706756,u,N01_03,フ
280,9.333333,0.17259937,0.798274,0.753047,a,N01_03,ア
281,9.366667,0.16218848,0.602207,0.76896,a,N01_03,ア
282,9.4,0.17110035,0.262207,0.787224,a,N01_03,ア
283,9.433333,0.16072251,0.138006,0.78708,N,N01_03,ン
284,9.466667,0.07093761,0.054481,0.696973,N,N01_03,ン
285,9.5,0.00031319,0.170717,0.459473,t,N01_03,ト
286,9.533333,0.07732347,0.414536,0.496218,t,N01_03,ト
287,9.566667,0.14374634,0.552028,0.601868,o,N01_03,ト
288,9.6,0.13462811,0.555973,0.652259,o,N01_03,ト
289,9.633333,0.10686169,0.555973,0.648603,o,N01_03,ト
290,9.666667,0.04819957,0.369413,0.574376,o,N01_03,ト
291,9.7,0.00740133,0.029413,0.436073,sp,N01_03,","
292,9.733333,0.00111894,0.0,0.309543,sp,N01_03,","
293,9.766667,4.666e-05,0.0,0.204063,sp,N01_03,","
294,9.8,3.052e-05,0.0,0.134527,sp,N01_03,","
295,9.833333,3.052e-05,0.0,0.088685,sp,N01_03,","
296,9.866667,3.052e-05,0.0,0.058465,sp,N01_03,","
297,9.9,3.052e-05,0.0,0.038543,sp,N01_03,","
298,9.933333,3.052e-05,0.0,0.025409,sp,N01_03,","
299,9.966667,3.052e-05,0.0,0.016751,sp,N01_03,","
300,10.0,3.052e-05,0.0,0.0,sp,N01_03,","
301,10.033333,3.052e-05,0.0,0.0,sp,N01_03,","
302,10.066667,3.052e-05,0.0,0.0,sp,N01_03,","
303,10.1,3.052e-05,0.0,0.0,sp,N01_03,","
304,10.133333,0.00016724,0.274419,0.0,sp,N01_03,","
305,10.166667,0.10330236,0.600027,0.270052,w,N01_03,ワ
306,10.2,0.15277642,0.672129,0.481917,a,N01_03,ワ
307,10.233333,0.01248087,0.47166,0.392328,t,N01_03,タ
308,10.266667,0.15533717,0.692963,0.554803,t,N01_03,タ
309,10.3,0.16225444,0.605293,0.655285,a,N01_03,タ
310,10.333333,0.01038706,0.265293,0.500055,a,N01_03,タ
311,10.366667,0.03947435,0.19,0.462489,sh,N01_03,シ
312,10.4,0.0921763,0.208026,0.519315,sh,N01_03,シ
313,10.433333,0.03794115,0.353454,0.472579,sh,N01_03,シ
314,10.466667,0.00058371,0.444997,0.311543,i,N01_03,シ
315,10.5,0.10741971,0.625387,0.452912,t,N01_03,タ
316,10.533333,0.14270448,0.389192,0.575869,a,N01_03,タ
317,10.566667,0.00998687,0.190823,0.446373,ch,N01_03,チ
318,10.6,0.05918237,0.19566,0.459584,ch,N01_03,チ
319,10.633333,0.08485109,0.344754,0.507344,ch,N01_03,チ
320,10.666667,0.18473387,0.355673,0.650646,i,N01_03,チ
321,10.7,0.15984081,0.39614,0.70776,n,N01_03,ノ
322,10.733333,0.14455641,0.531863,0.724133,o,N01_03,ノ
323,10.766667,0.04339038,0.29978,0.616649,o,N01_03,ノ
324,10.8,0.00400191,0.228464,0.448669,k,N01_03,ク
325,10.833333,0.0562755,0.346793,0.455838,k,N01_03,ク
326,10.866667,0.12917628,0.426121,0.562193,u,N01_03,ク
327,10.9,0.11789252,0.456301,0.609781,r,N01_03,ラ
328,10.933333,0.18108991,0.655899,0.705854,r,N01_03,ラ
329,10.966667,0.16070443,0.345549,0.740338,a,N01_03,ラ
330,11.0,0.06800472,0.19,0.662437,sh,N01_03,シ
331,11.033333,0.07470453,0.199286,0.619473,sh,N01_03,シ
332,11.066667,0.06425219,0.369344,0.577876,sh,N01_03,シ
333,11.1,0.14793785,0.54262,0.653312,i,N01_03,シ
334,11.133333,0.15159586,0.322814,0.700547,o,N01_03,オ
335,11.166667,0.09148179,0.190545,0.664089,s,N01_03,サ
336,11.2,0.04299629,0.203385,0.576431,s,N01_03,サ
337,11.233333,0.0425562,0.542324,0.517931,s,N01_03,サ
338,11.266667,0.10707296,0.334396,0.570884,a,N01_03,サ
339,11.3,0.04041394,0.19,0.510755,s,N01_03,サ
340,11.333333,0.03057095,0.215079,0.453594,s,N01_03,サ
341,11.366667,0.12885278,0.555079,0.560529,s,N01_03,サ
342,11.4,0.17636549,0.70434,0.672921,a,N01_03,サ
343,11.433333,0.16901055,0.568093,0.730001,e,N01_03,エ
344,11.466667,0.10619118,0.258692,0.699166,e,N01_03,エ
345,11.5,0.10687299,0.319977,0.679537,r,N01_03,ル
346,11.533333,0.11850843,0.212706,0.678194,u,N01_03,ル
347,11.566667,0.05876654,0.19,0.609187,s,N01_03,セ
348,11.6,0.03812646,0.200329,0.532144,s,N01_03,セ
349,11.633333,0.06409423,0.479765,0.520097,s,N01_03,セ
350,11.666667,0.15166357,0.619612,0.624188,e,N01_03,セ
351,11.7,0.14369438,0.376578,0.675234,e,N01_03,エ
352,11.733333,0.08175082,0.191769,0.636338,s,N01_03,サ
353,11.766667,0.04065764,0.196983,0.55431,s,N01_03,サ
354,11.8,0.04489368,0.504483,0.507088,s,N01_03,サ
355,11.833333,0.12264825,0.68784,0.583901,a,N01_03,サ
356,11.866667,0.00602584,0.34784,0.436718,a,N01_03,サ
357,11.9,0.01387642,0.228157,0.366603,k,N01_03,ク
358,11.933333,0.08501274,0.341273,0.454228,k,N01_03,ク
359,11.966667,0.1098764,0.401669,0.537896,u,N01_03,ク
360,12.0,0.11105203,0.447883,0.58738,w,N01_03,ワ
361,12.033333,0.15285487,0.551219,0.664069,w,N01_03,ワ
362,12.066667,0.12445151,0.712958,0.676116,a,N01_03,ワ
363,12.1,0.09604187,0.717675,0.652964,a,N01_03,ワ
364,12.133333,0.01708291,0.558138,0.517799,a,N01_03,ワ
365,12.166667,0.00389906,0.218138,0.382954,a,N01_03,ワ
366,12.2,0.0004133,0.0,0.252459,a,N01_03,ワ
367,12.233333,3.055e-05,0.0,0.166431,a,N01_03,ワ
368,12.266667,3.052e-05,0.0,0.109718,sp,N01_03,","
369,12.3,3.052e-05,0.0,0.072331,sp,N01_03,","
370,12.333333,3.052e-05,0.0,0.047683,sp,N01_03,","
371,12.366667,3.052e-05,0.0,0.031435,sp,N01_03,","
372,12.4,3.052e-05,0.0,0.020723,sp,N01_03,","
373,12.433333,3.052e-05,0.0,0.0,sp,N01_03,","
374,12.466667,3.052e-05,0.0,0.0,sp,N01_03,","
375,12.5,3.052e-05,0.0,0.0,sp,N01_03,","
376,12.533333,3.052e-05,0.0,0.0,sp,N01_03,","
377,12.566667,3.052e-05,0.0,0.0,sp,N01_03,","
378,12.6,0.00638827,0.261877,0.068189,sp,N01_03,","
379,12.633333,0.13086165,0.502143,0.341734,d,N01_03,ド
380,12.666667,0.18501761,0.583567,0.555902,o,N01_03,ド
381,12.7,0.1691941,0.536835,0.663048,o,N01_03,オ
382,12.733333,0.08495802,0.239657,0.63202,o,N01_03,オ
383,12.766667,0.01347707,0.19011,0.49421,ts,N01_03,ツ
384,12.8,0.03844397,0.246286,0.45689,ts,N01_03,ツ
385,12.833333,0.1425753,0.39998,0.578009,u,N01_03,ツ
386,12.866667,0.17639421,0.469278,0.682978,n,N01_03,ナ
387,12.9,0.20328513,0.719661,0.754171,n,N01_03,ナ
388,12.933333,0.15981966,0.729699,0.767135,a,N01_03,ナ
389,12.966667,0.01769495,0.480659,0.594619,a,N01_03,ナ
390,13.0,0.06536363,0.649009,0.562952,g,N01_03,ガ
391,13.033333,0.19904425,0.604564,0.685305,a,N01_03,ガ
392,13.066667,0.15666125,0.264564,0.724302,a,N01_03,ガ
393,13.1,0.11571351,0.306359,0.704973,r,N01_03,ル
394,13.133333,0.16599159,0.346034,0.745305,u,N01_03,ル
395,13.166667,0.16509847,0.387301,0.767528,n,N01_03,ノ
396,13.2,0.190464,0.552028,0.802681,o,N01_03,ノ
397,13.233333,0.15135999,0.388098,0.789342,o,N01_03,ノ
398,13.266667,0.02468618,0.413504,0.625386,d,N01_03,デ
399,13.3,0.09852329,0.473348,0.622182,e,N01_03,デ
400,13.333333,0.08880079,0.203237,0.609441,sh,N01_03,ショ
401,13.366667,0.05657295,0.19,0.560807,sh,N01_03,ショ
402,13.4,0.06270165,0.199041,0.537142,sh,N01_03,ショ
403,13.433333,0.10725748,0.44359,0.582143,sh,N01_03,ショ
404,13.466667,0.13624849,0.56046,0.642784,o,N01_03,ショ
405,13.5,0.104892,0.492008,0.640331,o,N01_03,オ
406,13.533333,0.01099443,0.448415,0.492165,k,N01_03,カ
407,13.566667,0.02668498,0.451184,0.433649,k,N01_03,カ
408,13.6,0.03860955,0.5914,0.417247,k,N01_03,カ
409,13.633333,0.07291386,0.698096,0.465259,a,N01_03,カ
410,13.666667,0.04269464,0.699117,0.444866,a,N01_03,カ
411,13.7,0.01228539,0.613981,0.367314,a,N01_03,カ
412,13.733333,0.00358184,0.273981,0.282006,a,N01_03,カ
413,13.766667,0.00050876,0.0,0.18591,a,N01_03,カ
414,13.8,0.0,0.0,0.122559,a,N01_03,カ
415,13.833333,0.0,0.0,0.080796,sp,N01_03,.
416,13.866667,0.0,0.0,0.053264,sil,,
417,13.9,0.0,0.0,0.035114,sil,,
418,13.933333,0.0,0.0,0.023148,sil,,
419,13.966667,0.0,0.080181,0.0,sil,,
420,14.0,0.00170698,0.416422,0.0,h,N01_04,ハ
