start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
5.2349494,5.3049494,w,N01_02,ワ,2.4225,2.4925,5.2342234,5.3042234,241,247
5.3049494,5.4949494,a,N01_02,ワ,2.4925,2.6825,5.3042234,5.4942234,248,266
5.4949494,5.8549494,sp,N01_02,[observed_pause: N01_02 san-wa],2.6825,3.0425,5.4942234,5.8542234,267,302
5.8549494,5.9249494,k,N01_02,ケ,3.0425,3.1125,5.8542234,5.9242234,303,309
5.9249494,5.9949494,e,N01_02,ケ,3.1125,3.1825,5.9242234,5.9942234,310,316
5.9949494,6.0349494,i,N01_02,イ,3.1825,3.2225,5.9942234,6.0342234,317,320
6.0349494,6.1249494,z,N01_02,ザ,3.2225,3.3125,6.0342234,6.1242234,321,329
6.1249494,6.1749494,a,N01_02,ザ,3.3125,3.3625,6.1242234,6.1742234,330,334
6.1749494,6.2249494,i,N01_02,イ,3.3625,3.4125,6.1742234,6.2242234,335,339
6.2249494,6.3149494,s,N01_02,セ,3.4125,3.5025,6.2242234,6.3142234,340,348
6.3149494,6.3749494,e,N01_02,セ,3.5025,3.5625,6.3142234,6.3742234,349,354
6.3749494,6.4449494,i,N01_02,イ,3.5625,3.6325,6.3742234,6.4442234,355,361
6.4449494,6.5249494,ch,N01_02,チョ,3.6325,3.7125,6.4442234,6.5242234,362,369
6.5249494,6.5749494,o,N01_02,チョ,3.7125,3.7625,6.5242234,6.5742234,370,374
6.5749494,6.6249494,o,N01_02,オ,3.7625,3.8125,6.5742234,6.6242234,375,379
6.6249494,6.6849494,t,N01_02,ト,3.8125,3.8725,6.6242234,6.6842234,380,385
6.6849494,6.7349494,o,N01_02,ト,3.8725,3.9225,6.6842234,6.7342234,386,390
6.7349494,6.7749494,i,N01_02,イ,3.9225,3.9625,6.7342234,6.7742234,391,394
6.7749494,6.8449494,u,N01_02,ウ,3.9625,4.0325,6.7742234,6.8442234,395,401
6.8449494,6.9249494,sh,N01_02,シ,4.0325,4.1125,6.8442234,6.9242234,402,409
6.9249494,6.9549494,i,N01_02,シ,4.1125,4.1425,6.9242234,6.9542234,410,412
6.9549494,7.0049494,t,N01_02,テ,4.1425,4.1925,6.9542234,7.0042234,413,417
7.0049494,7.0549494,e,N01_02,テ,4.1925,4.2425,7.0042234,7.0542234,418,422
7.0549494,7.1349494,N,N01_02,ン,4.2425,4.3225,7.0542234,7.1342234,423,430
7.1349494,7.1949494,k,N01_02,カ,4.3225,4.3825,7.1342234,7.1942234,431,436
7.1949494,7.2249494,a,N01_02,カ,4.3825,4.4125,7.1942234,7.2242234,437,439
7.2249494,7.2849494,r,N01_02,ラ,4.4125,4.4725,7.2242234,7.2842234,440,445
7.2849494,7.4249494,a,N01_02,ラ,4.4725,4.6125,7.2842234,7.4242234,446,459
7.4249494,7.7149494,k,N01_02,コ,4.6125,4.9025,7.4242234,7.7142234,460,488
7.7149494,7.7549494,o,N01_02,コ,4.9025,4.9425,7.7142234,7.7542234,489,492
7.7549494,7.8349494,t,N01_02,タ,4.9425,5.0225,7.7542234,7.8342234,493,500
7.8349494,7.8849494,a,N01_02,タ,5.0225,5.0725,7.8342234,7.8842234,501,505
7.8849494,7.9549494,e,N01_02,エ,5.0725,5.1425,7.8842234,7.9542234,506,512
7.9549494,7.9949494,t,N01_02,テ,5.1425,5.1825,7.9542234,7.9942234,513,516
7.9949494,8.0249494,e,N01_02,テ,5.1825,5.2125,7.9942234,8.0242234,517,519
8.0249494,8.0749494,i,N01_02,イ,5.2125,5.2625,8.0242234,8.0742234,520,524
8.0749494,8.1649494,m,N01_02,マ,5.2625,5.3525,8.0742234,8.1642234,525,533
8.1649494,8.1949494,a,N01_02,マ,5.3525,5.3825,8.1642234,8.1942234,534,536
8.1949494,8.3649494,s,N01_02,ス,5.3825,5.5525,8.1942234,8.3642234,537,553
8.3649494,8.4049494,u,N01_02,ス,5.5525,5.5925,8.3642234,8.4042234,554,557
8.4049494,8.4549494,sp,N01_02,.,5.5925,5.6425,8.4042234,8.4542234,558,562
8.537489,8.647489,k,N01_03,コ,0.0425,0.1525,8.536763,8.646763,3,13
8.647489,8.707489,o,N01_03,コ,0.1525,0.2125,8.646763,8.706763,14,19
8.707489,8.767489,k,N01_03,ク,0.2125,0.2725,8.706763,8.766763,20,25
8.767489,8.797489,u,N01_03,ク,0.2725,0.3025,8.766763,8.796763,26,28
8.797489,8.867489,s,N01_03,サ,0.3025,0.3725,8.796763,8.866763,29,35
8.867489,8.937489,a,N01_03,サ,0.3725,0.4425,8.866763,8.936763,36,42
8.937489,8.987489,i,N01_03,イ,0.4425,0.4925,8.936763,8.986763,43,47
8.987489,9.067489,e,N01_03,エ,0.4925,0.5725,8.986763,9.066763,48,55
9.067489,9.127489,n,N01_03,ノ,0.5725,0.6325,9.066763,9.126763,56,61
9.127489,9.157489,o,N01_03,ノ,0.6325,0.6625,9.126763,9.156763,62,64
9.157489,9.257489,f,N01_03,フ,0.6625,0.7625,9.156763,9.256763,65,74
9.257489,9.317489,u,N01_03,フ,0.7625,0.8225,9.256763,9.316763,75,80
9.317489,9.407489,a,N01_03,ア,0.8225,0.9125,9.316763,9.406763,81,89
9.407489,9.477489,N,N01_03,ン,0.9125,0.9825,9.406763,9.476763,90,96
9.477489,9.557489,t,N01_03,ト,0.9825,1.0625,9.476763,9.556763,97,104
9.557489,9.697489,o,N01_03,ト,1.0625,1.2025,9.556763,9.696763,105,118
9.697489,10.137489,sp,N01_03,",",1.2025,1.6425,9.696763,10.136763,119,162
10.137489,10.187489,w,N01_03,ワ,1.6425,1.6925,10.136763,10.186763,163,167
10.187489,10.227489,a,N01_03,ワ,1.6925,1.7325,10.186763,10.226763,168,171
10.227489,10.277489,t,N01_03,タ,1.7325,1.7825,10.226763,10.276763,172,176
10.277489,10.337489,a,N01_03,タ,1.7825,1.8425,10.276763,10.336763,177,182
10.337489,10.437489,sh,N01_03,シ,1.8425,1.9425,10.336763,10.436763,183,192
10.437489,10.467489,i,N01_03,シ,1.9425,1.9725,10.436763,10.466763,193,195
10.467489,10.517489,t,N01_03,タ,1.9725,2.0225,10.466763,10.516763,196,200
10.517489,10.547489,a,N01_03,タ,2.0225,2.0525,10.516763,10.546763,201,203
