frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.019723,0.000000,sil,
2,0.066667,0.059133,-0.010313,1.000000,1.000000,0.039839,0.000000,t,ト
3,0.100000,0.320845,-0.073070,1.000000,1.000000,0.060391,0.000000,t,ト
4,0.133333,0.533166,-0.258330,1.000000,1.000000,0.081423,0.000000,t,ト
5,0.166667,0.577430,-0.515623,1.000000,1.000000,0.102973,0.002944,o,ト
6,0.200000,0.308220,-0.613496,1.000000,1.000000,0.125079,0.107511,o,オ
7,0.233333,0.190232,-0.433907,1.000000,1.000000,0.147776,0.352545,sh,シ
8,0.266667,0.190000,-0.097719,1.000000,1.000000,0.171093,0.714984,sh,シ
9,0.300000,0.232733,0.202109,1.000000,1.000000,0.195059,1.160717,sh,シ
10,0.333333,0.448516,0.246182,1.000000,1.000000,0.219698,1.647794,i,シ
11,0.366667,0.581132,-0.075852,1.000000,1.000000,0.245032,2.130373,o,オ
12,0.400000,0.388393,-0.528253,1.000000,1.000000,0.271079,2.563035,o,オ
13,0.433333,0.125959,-0.787223,1.000000,1.000000,0.297852,2.905060,f,フ
14,0.466667,0.127740,-0.824026,1.000000,1.000000,0.325361,3.124258,f,フ
15,0.500000,0.297817,-0.757839,1.000000,1.000000,0.353613,3.199999,f,フ
16,0.533333,0.429967,-0.646249,1.000000,1.000000,0.358697,3.125155,u,フ
17,0.566667,0.448000,-0.500012,1.000000,1.000000,0.363840,2.906769,y,ヤ
18,0.600000,0.466622,-0.329463,1.000000,1.000000,0.369027,2.565395,y,ヤ
19,0.633333,0.712268,-0.142238,1.000000,1.000000,0.374244,2.133162,y,ヤ
20,0.666667,0.423480,0.066996,1.000000,1.000000,0.379598,1.650750,a,ヤ
21,0.700000,0.191525,0.297669,1.000000,1.000000,0.386069,1.163561,sh,シ
22,0.733333,0.224215,0.517223,1.000000,1.000000,0.393837,0.717449,sh,シ
23,0.766667,0.107090,0.653650,1.000000,1.000000,0.402831,0.354398,i,シ
24,0.800000,0.233225,0.631062,1.000000,1.000000,0.412952,0.108579,t,テ
25,0.833333,0.573225,0.287424,1.000000,1.000000,0.424075,0.003126,e,テ
26,0.866667,0.237738,0.025319,1.000000,1.000000,0.436050,0.000000,e,テ
27,0.900000,0.000000,0.000000,1.000000,1.000000,0.448710,0.000000,m,モ
28,0.933333,0.045769,0.000000,1.000000,1.000000,0.461867,0.000000,m,モ
29,0.966667,0.385769,0.000000,1.000000,1.000000,0.475324,0.000000,m,モ
30,1.000000,0.541173,-0.133917,1.000000,1.000000,0.488873,0.000000,o,モ
31,1.033333,0.539162,-0.585741,1.000000,1.000000,0.502300,0.000000,o,モ
32,1.066667,0.314072,-0.896211,1.000000,1.000000,0.515395,0.000000,o,モ
33,1.100000,0.000000,-0.604865,1.000000,1.000000,0.527949,0.000000,o,モ
34,1.133333,0.000000,-0.117986,1.000000,1.000000,0.539764,0.000000,o,モ
35,1.166667,0.000000,0.000000,1.000000,1.000000,0.550654,0.000000,sp,","
36,1.200000,0.000000,0.000000,1.000000,1.000000,0.560450,0.000000,sp,","
37,1.233333,0.000000,0.000000,1.000000,1.000000,0.569006,0.000000,sp,","
38,1.266667,0.000000,0.000000,1.000000,1.000000,0.576196,0.000000,sp,","
39,1.300000,0.000000,0.000000,1.000000,1.000000,0.581923,0.000000,sp,","
40,1.333333,0.000000,0.000000,1.000000,1.000000,0.586118,0.000000,sp,","
41,1.366667,0.000000,0.000000,1.000000,1.000000,0.588740,0.000000,sp,","
42,1.400000,0.000000,0.000000,1.000000,1.000000,0.589782,0.000000,sp,","
43,1.433333,0.000000,0.000000,1.000000,1.000000,0.589264,0.000000,sp,","
44,1.466667,0.000000,0.000000,1.000000,1.000000,0.587237,0.000000,sp,","
45,1.500000,0.000000,0.000000,1.000000,1.000000,0.583782,0.000000,sp,","
46,1.533333,0.099518,0.000000,1.000000,1.000000,0.579006,0.000000,sp,","
47,1.566667,0.188828,-0.054623,1.000000,1.000000,0.573039,0.000000,s,ス
48,1.600000,0.199549,-0.414368,1.000000,1.000000,0.566034,0.000000,s,ス
49,1.633333,0.330975,-0.720217,1.000000,1.000000,0.558162,0.000000,s,ス
50,1.666667,0.350269,-0.728208,1.000000,1.000000,0.549606,0.000000,u,ス
51,1.700000,0.237976,-0.713543,1.000000,1.000000,0.540562,0.000000,u,ス
52,1.733333,0.340659,-0.663075,1.000000,1.000000,0.531229,0.000000,g,グ
53,1.766667,0.330774,-0.511915,1.000000,1.000000,0.521808,0.000000,u,グ
54,1.800000,0.245393,-0.223107,1.000000,1.000000,0.512497,0.000000,n,ニ
55,1.833333,0.322043,0.139287,1.000000,1.000000,0.503486,0.000000,n,ニ
56,1.866667,0.394208,0.423718,1.000000,1.000000,0.494952,0.000000,i,ニ
57,1.900000,0.317364,0.475450,1.000000,1.000000,0.487057,0.000000,i,ニ
58,1.933333,0.215122,0.268946,1.000000,1.000000,0.479945,0.000000,ky,キュ
59,1.966667,0.234015,-0.071410,1.000000,1.000000,0.473734,0.000000,ky,キュ
60,2.000000,0.361202,-0.397314,1.000000,1.000000,0.468521,0.000000,ky,キュ
61,2.033333,0.378745,-0.617863,1.000000,1.000000,0.464373,0.000000,u,ウ
62,2.066667,0.349272,-0.732557,1.000000,1.000000,0.461208,0.000000,u,ウ
63,2.100000,0.330523,-0.799122,1.000000,1.000000,0.458043,0.000000,ry,リョ
64,2.133333,0.330760,-0.857124,1.000000,1.000000,0.454664,0.000000,ry,リョ
65,2.166667,0.418178,-0.911956,1.000000,1.000000,0.451080,0.000000,ry,リョ
66,2.200000,0.578016,-0.947787,1.000000,1.000000,0.447301,0.000000,o,リョ
67,2.233333,0.558546,-0.929169,1.000000,1.000000,0.443338,0.000000,o,オ
68,2.266667,0.490234,-0.816253,1.000000,1.000000,0.439201,0.000000,o,オ
69,2.300000,0.451160,-0.609575,1.000000,1.000000,0.434902,0.000000,g,ガ
70,2.333333,0.616888,-0.366500,1.000000,1.000000,0.430453,0.000000,g,ガ
71,2.366667,0.757367,-0.164406,1.000000,1.000000,0.425865,0.000000,a,ガ
72,2.400000,0.722954,-0.049718,1.000000,1.000000,0.421151,0.000000,a,ア
73,2.433333,0.511867,-0.010222,1.000000,1.000000,0.416325,0.000000,a,ア
74,2.466667,0.567002,-0.012692,1.000000,1.000000,0.411399,0.000000,g,ガ
75,2.500000,0.681535,-0.056196,1.000000,1.000000,0.406387,0.000000,a,ガ
