frame,time_s,rms,mouth_open_y
332,11.066667,0.06425219,0.577876
333,11.1,0.14793785,0.653312
334,11.133333,0.15159586,0.700547
335,11.166667,0.09148179,0.664089
336,11.2,0.04299629,0.576431
337,11.233333,0.0425562,0.517931
338,11.266667,0.10707296,0.570884
339,11.3,0.04041394,0.510755
340,11.333333,0.03057095,0.453594
341,11.366667,0.12885278,0.560529
342,11.4,0.17636549,0.672921
343,11.433333,0.16901055,0.730001
344,11.466667,0.10619118,0.699166
345,11.5,0.10687299,0.679537
346,11.533333,0.11850843,0.678194
347,11.566667,0.05876654,0.609187
348,11.6,0.03812646,0.532144
349,11.633333,0.06409423,0.520097
350,11.666667,0.15166357,0.624188
351,11.7,0.14369438,0.675234
352,11.733333,0.08175082,0.636338
353,11.766667,0.04065764,0.55431
354,11.8,0.04489368,0.507088
355,11.833333,0.12264825,0.583901
356,11.866667,0.00602584,0.436718
357,11.9,0.01387642,0.366603
358,11.933333,0.08501274,0.454228
359,11.966667,0.1098764,0.537896
360,12.0,0.11105203,0.58738
361,12.033333,0.15285487,0.664069
362,12.066667,0.12445151,0.676116
363,12.1,0.09604187,0.652964
364,12.133333,0.01708291,0.517799
365,12.166667,0.00389906,0.382954
366,12.2,0.0004133,0.252459
367,12.233333,3.055e-05,0.166431
368,12.266667,3.052e-05,0.109718
369,12.3,3.052e-05,0.072331
370,12.333333,3.052e-05,0.047683
371,12.366667,3.052e-05,0.031435
372,12.4,3.052e-05,0.020723
373,12.433333,3.052e-05,0.0
374,12.466667,3.052e-05,0.0
375,12.5,3.052e-05,0.0
376,12.533333,3.052e-05,0.0
377,12.566667,3.052e-05,0.0
378,12.6,0.00638827,0.068189
379,12.633333,0.13086165,0.341734
380,12.666667,0.18501761,0.555902
381,12.7,0.1691941,0.663048
382,12.733333,0.08495802,0.63202
383,12.766667,0.01347707,0.49421
384,12.8,0.03844397,0.45689
385,12.833333,0.1425753,0.578009
386,12.866667,0.17639421,0.682978
387,12.9,0.20328513,0.754171
388,12.933333,0.15981966,0.767135
389,12.966667,0.01769495,0.594619
390,13.0,0.06536363,0.562952
391,13.033333,0.19904425,0.685305
392,13.066667,0.15666125,0.724302
393,13.1,0.11571351,0.704973
394,13.133333,0.16599159,0.745305
395,13.166667,0.16509847,0.767528
396,13.2,0.190464,0.802681
397,13.233333,0.15135999,0.789342
398,13.266667,0.02468618,0.625386
399,13.3,0.09852329,0.622182
400,13.333333,0.08880079,0.609441
401,13.366667,0.05657295,0.560807
402,13.4,0.06270165,0.537142
403,13.433333,0.10725748,0.582143
404,13.466667,0.13624849,0.642784
405,13.5,0.104892,0.640331
406,13.533333,0.01099443,0.492165
407,13.566667,0.02668498,0.433649
408,13.6,0.03860955,0.417247
409,13.633333,0.07291386,0.465259
410,13.666667,0.04269464,0.444866
411,13.7,0.01228539,0.367314
412,13.733333,0.00358184,0.282006
413,13.766667,0.00050876,0.18591
414,13.8,0.0,0.122559
415,13.833333,0.0,0.080796
416,13.866667,0.0,0.053264
417,13.9,0.0,0.035114
418,13.933333,0.0,0.023148
419,13.966667,0.0,0.0
420,14.0,0.00170698,0.0
421,14.033333,0.02747851,0.144379
422,14.066667,0.1085622,0.358455
423,14.1,0.13129719,0.508778
424,14.133333,0.00322514,0.37321
425,14.166667,0.06213778,0.422627
426,14.2,0.10001264,0.507022
427,14.233333,0.13506369,0.598337
428,14.266667,0.01794662,0.483972
429,14.3,0.17989131,0.632491
430,14.333333,0.20918604,0.725203
431,14.366667,0.2167177,0.778397
432,14.4,0.20202459,0.808918
433,14.433333,0.1916281,0.826429
434,14.466667,0.22311978,0.836476
435,14.5,0.13718922,0.799139
436,14.533333,0.04701237,0.671796
437,14.566667,0.08627994,0.639298
438,14.6,0.18731685,0.72886
439,14.633333,0.21385391,0.780496
440,14.666667,0.23630776,0.810122
441,14.7,0.23272031,0.82712
442,14.733333,0.22465053,0.836872
443,14.766667,0.24182344,0.842468
444,14.8,0.21214403,0.845678
445,14.833333,0.21976108,0.84752
446,14.866667,0.20291331,0.848577
447,14.9,0.03076597,0.676673
448,14.933333,0.01443645,0.526366
449,14.966667,0.14004104,0.61505
450,15.0,0.19079867,0.715197
451,15.033333,0.17375734,0.759054
452,15.066667,0.03315513,0.622127
453,15.1,0.00974912,0.476067
454,15.133333,0.025408,0.420389
455,15.166667,0.16214899,0.578056
456,15.2,0.20779047,0.693971
457,15.233333,0.20037674,0.760478
458,15.266667,0.17588959,0.787168
459,15.3,0.09690629,0.727105
460,15.333333,0.05753483,0.639723
461,15.366667,0.05014591,0.571458
462,15.4,0.0334154,0.498934
463,15.433333,0.01139523,0.400218
464,15.466667,0.00042513,0.26384
465,15.5,0.0,0.173934
466,15.533333,0.0,0.114664
467,15.566667,0.0,0.075591
468,15.6,0.0,0.049833
469,15.633333,0.0,0.032852
470,15.666667,0.0,0.021657
471,15.7,0.0,0.0
472,15.733333,0.0,0.0
473,15.766667,0.0,0.0
474,15.8,0.0,0.0
475,15.833333,0.0,0.0
476,15.866667,0.11434767,0.0
477,15.9,0.00116359,0.0
