frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.019723,0.000000,sil,
2,0.066667,0.064145,0.000000,1.000000,1.000000,0.039839,0.000000,sil,
3,0.100000,0.384697,0.011810,1.000000,1.000000,0.060391,0.000000,g,ゲ
4,0.133333,0.618087,0.057010,1.000000,1.000000,0.081423,0.000000,e,ゲ
5,0.166667,0.621240,0.154657,1.000000,1.000000,0.102973,0.000000,e,ゲ
6,0.200000,0.286845,0.264174,1.000000,1.000000,0.125079,0.000000,e,ゲ
7,0.233333,0.153078,0.327940,1.000000,1.000000,0.147776,0.000000,N,ン
8,0.266667,0.187944,0.347196,1.000000,1.000000,0.171093,0.000000,z,ゼ
9,0.300000,0.193831,0.348414,1.000000,1.000000,0.195059,0.000000,z,ゼ
10,0.333333,0.414402,0.325226,1.000000,1.000000,0.219698,0.000000,z,ゼ
11,0.366667,0.614263,0.213583,1.000000,1.000000,0.245032,0.000000,e,ゼ
12,0.400000,0.584677,-0.073208,1.000000,1.000000,0.271079,0.000000,e,エ
13,0.433333,0.538374,-0.473903,1.000000,1.000000,0.297852,0.000000,o,オ
14,0.466667,0.249002,-0.770007,1.000000,1.000000,0.325361,0.000000,o,オ
15,0.500000,0.190000,-0.866366,1.000000,1.000000,0.353613,0.000000,s,ス
16,0.533333,0.190236,-0.847493,1.000000,1.000000,0.358697,0.000000,s,ス
17,0.566667,0.247427,-0.799444,1.000000,1.000000,0.363840,0.000000,s,ス
18,0.600000,0.328606,-0.757553,1.000000,1.000000,0.369664,0.000000,u,ス
19,0.633333,0.222926,-0.729500,1.000000,1.000000,0.376843,0.000000,r,ル
20,0.666667,0.265792,-0.701299,1.000000,1.000000,0.385321,0.000000,r,ル
21,0.700000,0.398965,-0.635523,1.000000,1.000000,0.395010,0.000000,u,ル
22,0.733333,0.447435,-0.502770,1.000000,1.000000,0.405797,0.000000,n,ナ
23,0.766667,0.555661,-0.322941,1.000000,1.000000,0.417542,0.000000,n,ナ
24,0.800000,0.699938,-0.156087,1.000000,1.000000,0.430085,0.000000,a,ナ
25,0.833333,0.469459,-0.051668,1.000000,1.000000,0.443247,0.000000,r,ラ
26,0.866667,0.456189,-0.010459,1.000000,1.000000,0.456833,0.000000,r,ラ
27,0.900000,0.631572,0.000000,1.000000,1.000000,0.470640,0.000000,r,ラ
28,0.933333,0.708439,0.000000,1.000000,1.000000,0.484455,0.000000,a,ラ
29,0.966667,0.708589,0.000000,1.000000,1.000000,0.498064,0.000000,a,ラ
30,1.000000,0.453960,0.000000,1.000000,1.000000,0.511257,0.000000,a,ラ
31,1.033333,0.113960,0.000000,1.000000,1.000000,0.523829,0.000000,a,ラ
32,1.066667,0.000000,0.000000,1.000000,1.000000,0.535588,0.000000,a,ラ
33,1.100000,0.000000,0.000000,1.000000,1.000000,0.546354,0.000000,a,ラ
34,1.133333,0.000000,0.000000,1.000000,1.000000,0.555971,0.000000,sp,","
35,1.166667,0.000000,0.000000,1.000000,1.000000,0.564300,0.000000,sp,","
36,1.200000,0.000000,0.000000,1.000000,1.000000,0.571231,0.000000,sp,","
37,1.233333,0.000000,0.000000,1.000000,1.000000,0.576680,0.000000,sp,","
38,1.266667,0.000000,0.000000,1.000000,1.000000,0.580592,0.000000,sp,","
39,1.300000,0.000000,0.000000,1.000000,1.000000,0.582944,0.000000,sp,","
40,1.333333,0.000000,0.000000,1.000000,1.000000,0.583740,0.000000,sp,","
41,1.366667,0.000000,0.000000,1.000000,1.000000,0.583017,0.000000,sp,","
42,1.400000,0.000000,0.000000,1.000000,1.000000,0.580841,0.000000,sp,","
43,1.433333,0.115540,0.000000,1.000000,1.000000,0.577305,0.000000,z,ザ
44,1.466667,0.189470,0.000000,1.000000,1.000000,0.572527,0.000000,z,ザ
45,1.500000,0.222271,0.005623,1.000000,1.000000,0.566650,0.000000,z,ザ
46,1.533333,0.562271,0.046069,1.000000,1.000000,0.559834,0.016241,z,ザ
47,1.566667,0.748461,0.171247,1.000000,1.000000,0.552256,0.159705,a,ザ
48,1.600000,0.440144,0.392919,1.000000,1.000000,0.544104,0.438723,a,ザ
49,1.633333,0.394725,0.601621,1.000000,1.000000,0.535574,0.827036,i,イ
50,1.666667,0.365629,0.669611,1.000000,1.000000,0.526866,1.288097,i,イ
51,1.700000,0.471938,0.599759,1.000000,1.000000,0.518178,1.778514,g,ゲ
52,1.733333,0.619061,0.476951,1.000000,1.000000,0.509700,2.252129,e,ゲ
53,1.766667,0.459742,0.362957,1.000000,1.000000,0.501616,2.664369,e,ゲ
54,1.800000,0.167687,0.274873,1.000000,1.000000,0.494092,2.976434,N,ン
55,1.833333,0.380569,0.203370,1.000000,1.000000,0.487279,3.158955,N,ン
56,1.866667,0.458008,0.133685,1.000000,1.000000,0.481306,3.194754,w,ワ
57,1.900000,0.672330,0.045357,1.000000,1.000000,0.476277,3.080460,w,ワ
58,1.933333,0.654722,-0.096654,1.000000,1.000000,0.472270,2.826832,a,ワ
59,1.966667,0.349333,-0.314511,1.000000,1.000000,0.469338,2.457739,d,ド
60,2.000000,0.436472,-0.574543,1.000000,1.000000,0.466863,2.007919,d,ド
61,2.033333,0.572961,-0.797209,1.000000,1.000000,0.464151,1.519708,o,ド
62,2.066667,0.444038,-0.916805,1.000000,1.000000,0.461208,1.039053,o,オ
63,2.100000,0.199046,-0.932879,1.000000,1.000000,0.458043,0.611192,s,ス
64,2.133333,0.190000,-0.892316,1.000000,1.000000,0.454664,0.276394,s,ス
65,2.166667,0.195281,-0.835243,1.000000,1.000000,0.451080,0.066169,s,ス
66,2.200000,0.300692,-0.782007,1.000000,1.000000,0.447301,0.000000,s,ス
67,2.233333,0.244500,-0.744895,1.000000,1.000000,0.443338,0.000000,u,ス
68,2.266667,0.233192,-0.730740,1.000000,1.000000,0.439201,0.000000,r,ル
69,2.300000,0.347509,-0.741796,1.000000,1.000000,0.434902,0.000000,r,ル
70,2.333333,0.333192,-0.780520,1.000000,1.000000,0.430453,0.000000,n,ノ
71,2.366667,0.357533,-0.838724,1.000000,1.000000,0.425865,0.000000,n,ノ
72,2.400000,0.510972,-0.885452,1.000000,1.000000,0.421151,0.000000,n,ノ
73,2.433333,0.214069,-0.874632,1.000000,1.000000,0.416325,0.000000,o,ノ
74,2.466667,0.190565,-0.781982,1.000000,1.000000,0.411399,0.000000,k,カ
75,2.500000,0.530565,-0.629865,1.000000,1.000000,0.406387,0.000000,k,カ
